time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub678 [m3/s],sub679 [m3/s],sub680 [m3/s],sub681 [m3/s],sub682 [m3/s],sub683 [m3/s],sub684 [m3/s],sub685 [m3/s],sub686 [m3/s],sub687 [m3/s],sub688 [m3/s],sub689 [m3/s],sub690 [m3/s],sub691 [m3/s],sub692 [m3/s],sub693 [m3/s],sub694 [m3/s],sub695 [m3/s],sub696 [m3/s],sub697 [m3/s],sub698 [m3/s],sub699 [m3/s],sub700 [m3/s],sub701 [m3/s],sub702 [m3/s],sub703 [m3/s],sub704 [m3/s],sub705 [m3/s],sub706 [m3/s],sub707 [m3/s],sub708 [m3/s],sub709 [m3/s],sub710 [m3/s],sub711 [m3/s],sub712 [m3/s],sub713 [m3/s],sub714 [m3/s],sub715 [m3/s],sub716 [m3/s],sub717 [m3/s],sub718 [m3/s],sub719 [m3/s],sub720 [m3/s],sub721 [m3/s],sub722 [m3/s],sub723 [m3/s],sub724 [m3/s]
34,2010-02-04,00:00:00.00,0.000132339,0,3.25423e-06,0.00124494,0.00107239,0.000190238,0.000239062,0.000354212,6.90368e-05,0,0.17571,1.65521e-05,1.03773,0,0.00374985,0.00534196,0.0034981,0.00720508,0.00730108,0.000496214,7.27716e-05,0.000926913,0.00147276,0.00209665,0.000175629,0.000175367,0.000161039,0.000710985,0.00137367,0,0,0,0.00221259,0.000930506,0.00354271,3.55341e-06,0.00012997,0.00107192,1.38411,0.00477702,1.19733,0.00780768,0.00760922,0.00442232,0.473568,0,1.76818,0,0.0020348,0.003209
35,2010-02-05,00:00:00.00,0.00183574,0,2.51475e-05,0.000503086,0.00125689,0.000200783,0.000212686,0.000941285,0,0,0.000100047,3.15963e-05,0.974257,0,0.00243326,0.00443267,0.00332513,0.0084902,0.0055618,0.00108396,0.000589051,0.00124465,0.00244375,0.00226488,0.000174282,0,5.21954e-06,0.000995962,0.00144404,0,0,0,0.00224621,0.00033521,0.0036137,2.15522e-05,0.00311011,0.00156913,2.01218,0.00510198,0.130026,0.012214,0.00930607,0.010547,0.0470022,0,1.53661,0,0.00370266,0.0060734
36,2010-02-06,00:00:00.00,0.00271724,0,0.000331748,0.000434297,0.000534429,0.00033771,9.41844e-05,0.00161601,0,0,5.00905e-05,0.000677551,1.20305,0,0.00138188,0.00375917,0.00171476,0.00852653,0.00406395,0.00164052,0.00131758,0.0016333,0.00334878,0.00183063,0,0.000277942,0.000406004,0.000998682,0.00233844,1.16014e-05,9.15855e-06,6.98176e-06,0.00265419,0.000437765,0.00728802,0.00323123,0.00556815,0.00197809,2.08853,0.00608596,0.00611136,0.0160013,0.014409,0.0255893,0.000538542,0,0.568564,0.00292706,0.00581915,0.0189817
37,2010-02-07,00:00:00.00,7.18354e-06,0,0.000395622,0.000644486,0.000453683,0.00047556,1.01729e-05,0.00109397,0,0,1.29722e-06,0.00104303,0.991501,2.08798e-08,0.000930014,0.00244724,0.000281056,0.00627045,0.00332513,0.00168236,0.000752372,0.00231483,0.00219224,0.00184394,0,0.000277942,0.000695852,0.00175853,0.002436,3.45259e-05,4.59291e-05,9.04022e-05,0.00266327,0.000497926,0.00989931,0.00703058,0.00441051,0.00100196,2.29511,0.0101991,0.0089795,0.0268951,0.025379,0.0499551,0.000527768,0,0.0475111,0.00292706,0.0154895,0.0305761
38,2010-02-08,00:00:00.00,7.99753e-05,0,0.00014466,0.00101846,0.000644486,0.000205111,7.33804e-08,0.000978749,0.000204488,0,2.7396e-06,0.000674254,0.256617,5.0887e-08,0.000447154,0.00145029,0,0.00423111,0.00171476,0.00287527,0.000461717,0.00228653,0.000641549,0.00237073,0,0.000655658,0.000370181,0.001349,0.00075601,8.67489e-05,8.72182e-05,0.000210489,0.00149558,0.00028492,0.00943551,0.0119866,0.00663394,0.000210593,2.70635,0.00804556,0.0162118,0.0333435,0.0265402,0.0691418,0.00295238,0,0.0522603,0,0.0215677,0.0895087
39,2010-02-09,00:00:00.00,0.000237439,0,0.000303722,0.00113053,0.00101846,7.61446e-06,8.80454e-07,0.00104537,0.000403405,2.31304e-06,2.61038e-06,0.000654271,0.00121159,6.40041e-08,0.000179137,0.00106786,0.000106647,0.003338,0.000291807,0.00240338,0.000487674,0.00250337,0.000604534,0.00314531,2.42007e-05,0.00392592,0.000182169,0.000485317,2.35051e-06,0.000191707,0.000111987,0.00027669,0.00135046,0.000327108,0.0124476,0.0101495,0.00471395,0.000236287,2.999,0.00795381,0.0181246,0.0344871,0.0295729,0.0750788,0.0090676,0,0.0807743,0,0.00984382,0.075412
40,2010-02-10,00:00:00.00,0.00262639,0,0.00224644,0.0007251,0.00113053,4.5585e-05,2.11826e-05,0.00129498,0.000198916,2.4386e-05,4.37998e-06,0.00112178,0.00139092,6.9738e-08,0.000346016,0.00119258,0.000226982,0.00173973,0.000187206,0.00119883,7.9586e-05,0.00285174,0.000737779,0.00323533,0.00256688,0.00769476,0.000167301,0.000752931,0,0.00033821,0.000127927,0.000310455,0.00153207,0.000693387,0.00985115,0.0022824,0.000334212,0.000862785,2.64936,0.0157991,0.0219652,0.0178921,0.0188678,0.0383567,0.0133193,0.0169917,0.078726,0.000190129,0,0.00181299
41,2010-02-11,00:00:00.00,0.00392387,0,0.00402895,0.000367691,0.0007251,3.85563e-05,6.44263e-05,0.00127078,0,2.2073e-05,4.69307e-06,0.00227143,0.00126965,2.4539e-07,0.000693814,0.00153561,0.000575042,0.00124364,0.000730186,0.00134909,0.000846431,0.00725704,0.000436336,0.00403521,0.00584461,0.0044245,6.02451e-05,0.000415281,0.000141991,0.000529231,0.000134942,0.000326568,0.00131601,0.000692539,0.00319136,0.00058741,0.00115344,0.000661605,2.06719,0.00973188,0.0443103,0,0.000269166,0.0332865,0.04918,0.0703576,0.0978802,0.0212217,0,0
42,2010-02-12,00:00:00.00,8.611e-06,0,0.00483591,0.000219304,0.000367691,0,6.52711e-05,0.000560881,0,0,5.10949e-05,0.00152644,0.0016619,1.10053e-06,0.000890586,0.00103116,0.001148,0.00168613,0.00112151,0.00159653,0.000809529,0.00967598,0.000119963,0.00965618,0.00330192,0,0,0.000183447,0.000142208,0.000705118,0.000159382,0.000333612,0.00211554,0.000192623,0.00138168,0.000976377,0.00169036,2.367e-05,1.94597,9.78361e-06,0.074183,0,0,0.0474521,0.157622,0.0999578,0.112543,0.142873,0,0
43,2010-02-13,00:00:00.00,1.44488e-05,0,0.00280827,0.000911206,0.000219304,0,2.11469e-05,0.000586528,0,0,5.20821e-05,0,0.00277857,6.11993e-06,0.000756522,0.000693814,0.000900111,0.00135172,0.00102248,0.00127078,0,0.00522525,0,0.0133902,0,0,0,0.000167721,2.1704e-07,0.000857304,0.00019195,0.000336691,0.00229586,0,0.000865839,0.00114867,0.000858583,0,2.2951,0,0.102307,0,0,0.0233545,0.255184,0.0514921,0.0861772,0.232667,0,0
44,2010-02-14,00:00:00.00,0.000122654,0,0.00222314,0.0011391,0.000911206,0,0,0.000620081,0,0.000313066,0.000447457,0.00183781,0.0033069,3.6079e-05,0.000555422,0.000890586,0.000206823,0.00118837,0.001148,0.000560881,0,0.00403521,0,0.00872425,0,0,0,6.02451e-05,0,0.000981659,0.000208596,0.000338037,0.000878297,0,0.00119152,0.000641194,2.6239e-05,0,2.53262,0,0.104733,0,0,0.00765097,0.306247,0.0049002,0.086413,0.110825,0,0
45,2010-02-15,00:00:00.00,9.41697e-06,0,0.00304038,0.000271415,0.0011391,0,0,0.000635126,0.000165744,0.000315379,0.00253122,0.00599015,0.00725346,7.28996e-05,0.000359405,0.000756522,0,0.00103869,0.000900111,0.000586528,0,0.00965618,0,0.00364548,0,0,1.08971e-05,0,0.000102669,0.000964275,0.000217725,0.000338626,0.000136926,0,0.00151259,0.000367319,2.53168e-05,0,2.12438,0,0.168661,0,0,0,0.28997,0,0.0945567,0,0,0
