time,date,hour,precip [mm/day],sub7064 [m3/s],sub7064 (observed) [m3/s],sub7068 [m3/s],sub7070 [m3/s],sub7071 [m3/s]
153,2000-06-02,00:00:00.00,0.184466,8.38514,7.05,2.99294,2.22941,1.54705
154,2000-06-03,00:00:00.00,2.7398,7.96471,7.5,2.83577,2.11158,1.46666
155,2000-06-04,00:00:00.00,0.0198475,7.45355,8.27,2.62436,1.95082,1.35822
156,2000-06-05,00:00:00.00,0.00862655,7.11321,7.62,2.50429,1.86116,1.29689
157,2000-06-06,00:00:00.00,1.37433,6.79533,6.46,2.395,1.77966,1.24104
158,2000-06-07,00:00:00.00,0.333658,6.50959,6.95,2.29434,1.7046,1.1895
159,2000-06-08,00:00:00.00,0.0462417,6.24346,6.8,2.20053,1.63467,1.14139
160,2000-06-09,00:00:00.00,0.244168,5.99323,5.9,2.11231,1.56894,1.0961
161,2000-06-10,00:00:00.00,5.83346,6.13504,6.3,2.05227,1.52383,1.06572
162,2000-06-11,00:00:00.00,0.0813465,6.49987,6.6,2.01042,1.49206,1.04493
163,2000-06-12,00:00:00.00,13.6859,7.25826,8,2.32878,1.73433,1.22254
164,2000-06-13,00:00:00.00,0.394748,8.39653,13.8,2.861,2.13876,1.51806
165,2000-06-14,00:00:00.00,32.7138,12.4286,36.7,4.24779,3.17316,2.275
166,2000-06-15,00:00:00.00,7.02909,18.7333,93.4,6.49452,4.85016,3.4958
167,2000-06-16,00:00:00.00,5.17524,18.4126,56.9,6.56151,4.92667,3.52361
168,2000-06-17,00:00:00.00,0.0459579,14.7292,32.2,5.33967,4.04148,2.8502
169,2000-06-18,00:00:00.00,0.112631,13.295,31.7,4.7766,3.61102,2.54764
170,2000-06-19,00:00:00.00,0.507462,12.0137,18.8,4.28882,3.23007,2.28827
171,2000-06-20,00:00:00.00,0.0324294,11.1659,15.6,3.98362,2.99658,2.12361
172,2000-06-21,00:00:00.00,0.0638663,10.4239,12.3,3.71724,2.79341,1.98001
173,2000-06-22,00:00:00.00,20.1557,12.8958,10.6,4.57448,3.43696,2.4645
174,2000-06-23,00:00:00.00,0.0419294,16.9781,11.2,5.99368,4.5022,3.26196
175,2000-06-24,00:00:00.00,0.0109691,15.6928,10,5.53998,4.16056,3.01411
176,2000-06-25,00:00:00.00,3.52407,12.629,8.26,4.47218,3.35684,2.42472
177,2000-06-26,00:00:00.00,90.1401,48.5763,77.7,18.4532,13.5905,9.56725
178,2000-06-27,00:00:00.00,0.225765,100.869,121,38.6509,28.3526,19.8512
179,2000-06-28,00:00:00.00,2.17862,89.3083,79,34.0217,24.9484,17.4754
180,2000-06-29,00:00:00.00,0.0359849,54.0919,43,20.2973,14.9144,10.493
181,2000-06-30,00:00:00.00,9.31099,45.3115,24.9,17.0126,12.4846,8.74859
182,2000-07-01,00:00:00.00,0.0201045,41.9694,27.3,15.8915,11.6338,8.09544
183,2000-07-02,00:00:00.00,0.03374,35.3386,18.7,13.3119,9.75109,6.79281
184,2000-07-03,00:00:00.00,0.0191261,28.8329,13.2,10.7476,7.88696,5.51836
185,2000-07-04,00:00:00.00,9.52357,27.558,41.6,10.4489,7.68511,5.44714
186,2000-07-05,00:00:00.00,0.0971874,28.0764,48.4,10.9086,8.04163,5.78296
187,2000-07-06,00:00:00.00,0.0264792,24.9776,24.3,9.67173,7.13305,5.13294
188,2000-07-07,00:00:00.00,0.0333044,21.1031,14.1,8.05154,5.93628,4.25015
189,2000-07-08,00:00:00.00,0.007895,18.8756,10.8,7.15909,5.27917,3.77528
190,2000-07-09,00:00:00.00,0.0243449,17.0831,8.82,6.44902,4.75632,3.39855
191,2000-07-10,00:00:00.00,15.1644,18.797,7.56,6.81309,5.0157,3.57979
192,2000-07-11,00:00:00.00,0.00753549,22.0901,7.44,7.65595,5.62418,4.00967
193,2000-07-12,00:00:00.00,0.0590585,20.2544,6.81,7.00984,5.15039,3.67054
194,2000-07-13,00:00:00.00,0.152872,16.818,6.06,5.91879,4.35362,3.10256
195,2000-07-14,00:00:00.00,0.259747,15.3198,5.48,5.40189,3.97499,2.8317
196,2000-07-15,00:00:00.00,7.77605,15.2205,6.04,5.31093,3.88942,2.75524
197,2000-07-16,00:00:00.00,2.48537,15.8152,14.2,5.43227,3.94927,2.77651
198,2000-07-17,00:00:00.00,2.31572,14.7259,20.9,5.06524,3.67362,2.58
199,2000-07-18,00:00:00.00,0.18592,13.1277,24.1,4.56041,3.30698,2.32504
200,2000-07-19,00:00:00.00,0.195181,12.2036,33.2,4.25201,3.08775,2.17214
201,2000-07-20,00:00:00.00,0.0846977,11.393,16,3.97563,2.8942,2.03876
202,2000-07-21,00:00:00.00,0.196156,10.699,9.98,3.73989,2.72505,1.92042
203,2000-07-22,00:00:00.00,0.927933,10.0792,8.31,3.52863,2.57303,1.81393
204,2000-07-23,00:00:00.00,0.0418733,9.52457,7.28,3.33914,2.43637,1.71809
205,2000-07-24,00:00:00.00,0.0375341,9.02208,6.58,3.16698,2.31209,1.63087
206,2000-07-25,00:00:00.00,0.020137,8.56136,6.16,3.00848,2.19758,1.55052
207,2000-07-26,00:00:00.00,0.00762474,8.13858,5.67,2.86254,2.09204,1.47646
208,2000-07-27,00:00:00.00,0.0596941,7.74916,5.28,2.7278,1.99448,1.40794
209,2000-07-28,00:00:00.00,0.0172958,7.38897,4.89,2.60293,1.904,1.34432
210,2000-07-29,00:00:00.00,0.585505,7.05629,4.56,2.48749,1.8203,1.28541
211,2000-07-30,00:00:00.00,0.445463,6.75025,4.61,2.38132,1.74329,1.23116
212,2000-07-31,00:00:00.00,0.208602,6.4669,4.9,2.28293,1.67186,1.18082
213,2000-08-01,00:00:00.00,4.40907,6.37192,5.09,2.24371,1.65021,1.17341
214,2000-08-02,00:00:00.00,2.08842,6.39042,10.8,2.24067,1.65852,1.19138
215,2000-08-03,00:00:00.00,1.8374,6.11473,14.6,2.14693,1.58805,1.13906
216,2000-08-04,00:00:00.00,0.781483,5.75176,10.4,2.02652,1.49402,1.06536
217,2000-08-05,00:00:00.00,0.166604,5.54029,7.67,1.95354,1.44017,1.02657
218,2000-08-06,00:00:00.00,0.153521,5.34266,6.32,1.885,1.38971,0.990392
219,2000-08-07,00:00:00.00,0.350693,5.15505,5.66,1.81976,1.34167,0.955968
220,2000-08-08,00:00:00.00,3.06827,4.98079,5.47,1.75911,1.29699,0.923967
221,2000-08-09,00:00:00.00,0.372338,4.81852,5.17,1.70262,1.25538,0.894187
222,2000-08-10,00:00:00.00,2.90582,4.71254,7.05,1.64888,1.21579,0.865876
223,2000-08-11,00:00:00.00,0.314656,4.64283,6.68,1.59803,1.17834,0.839109
224,2000-08-12,00:00:00.00,0.223435,4.48686,6.28,1.54977,1.14279,0.813713
225,2000-08-13,00:00:00.00,0.0481938,4.30574,5.63,1.50325,1.10852,0.789228
226,2000-08-14,00:00:00.00,1.19739,4.17476,5.11,1.45884,1.0758,0.765789
227,2000-08-15,00:00:00.00,0.260215,4.05169,4.76,1.41689,1.04488,0.743526
228,2000-08-16,00:00:00.00,1.8388,3.93505,4.38,1.37704,1.0155,0.722403
229,2000-08-17,00:00:00.00,0.765756,3.82452,4.24,1.33917,0.987578,0.702406
230,2000-08-18,00:00:00.00,0.0473069,3.71987,4.13,1.30336,0.961214,0.683475
231,2000-08-19,00:00:00.00,0.239762,3.61967,4.22,1.26902,0.935932,0.665321
232,2000-08-20,00:00:00.00,0.120914,3.52341,4.44,1.23591,0.911538,0.647841
233,2000-08-21,00:00:00.00,0.768674,3.43177,4.26,1.20434,0.88827,0.6312
234,2000-08-22,00:00:00.00,3.00154,3.36795,4.02,1.17488,0.866134,0.615424
235,2000-08-23,00:00:00.00,0.474537,3.32214,3.86,1.1471,0.844955,0.600331
236,2000-08-24,00:00:00.00,10.2795,3.737,6.55,1.32882,0.987719,0.713194
237,2000-08-25,00:00:00.00,0.0289169,4.44795,5.55,1.63937,1.2311,0.90464
238,2000-08-26,00:00:00.00,0.0177151,4.14915,5.05,1.52124,1.14036,0.835381
239,2000-08-27,00:00:00.00,0.736029,3.51973,4.75,1.26515,0.942091,0.682028
240,2000-08-28,00:00:00.00,1.12547,3.41389,7.15,1.2262,0.912698,0.660184
241,2000-08-29,00:00:00.00,0.00226337,3.32628,5.8,1.1946,0.88899,0.642714
242,2000-08-30,00:00:00.00,0.0249204,3.2415,5.18,1.16402,0.86606,0.625841
243,2000-08-31,00:00:00.00,1.72092,3.15994,4.85,1.13458,0.843998,0.609613
244,2000-09-01,00:00:00.00,0.168069,3.08242,4.5,1.10662,0.823042,0.594169
245,2000-09-02,00:00:00.00,2.55174,3.01286,4.15,1.08463,0.807783,0.579375
246,2000-09-03,00:00:00.00,0.607736,2.94961,4.3,1.06686,0.796432,0.565276
247,2000-09-04,00:00:00.00,2.42957,2.87994,4.71,1.04041,0.776085,0.551891
248,2000-09-05,00:00:00.00,3.42384,2.87417,4.82,1.03477,0.770799,0.550267
249,2000-09-06,00:00:00.00,0.21344,2.91571,4.56,1.04928,0.782036,0.556056
250,2000-09-07,00:00:00.00,0.287646,2.82467,4.16,1.01651,0.757381,0.538935
251,2000-09-08,00:00:00.00,0.019697,2.69269,3.9,0.969083,0.721588,0.514756
252,2000-09-09,00:00:00.00,0.492513,2.63224,3.83,0.947174,0.705156,0.502958
253,2000-09-10,00:00:00.00,0.510591,2.57614,3.7,0.926877,0.689944,0.49199
254,2000-09-11,00:00:00.00,0.739306,2.52211,3.77,0.907354,0.675317,0.481456
255,2000-09-12,00:00:00.00,0.31569,2.46976,5.53,0.888424,0.661139,0.471263
256,2000-09-13,00:00:00.00,8.04076,2.68808,6.19,0.966061,0.720384,0.512394
257,2000-09-14,00:00:00.00,0.00628157,3.07778,5.17,1.10474,0.825993,0.585913
258,2000-09-15,00:00:00.00,14.1995,3.57036,5.75,1.29883,0.971159,0.683762
259,2000-09-16,00:00:00.00,2.33474,4.35832,12.1,1.59652,1.19365,0.835969
260,2000-09-17,00:00:00.00,0.56037,4.05712,12.3,1.46059,1.09295,0.770662
261,2000-09-18,00:00:00.00,0.431701,3.20527,9.93,1.1433,0.85548,0.60707
262,2000-09-19,00:00:00.00,0.0643743,3.05699,7.35,1.10352,0.82506,0.583101
263,2000-09-20,00:00:00.00,0.0390296,2.9824,5.89,1.07666,0.80478,0.568683
264,2000-09-21,00:00:00.00,2.35822,2.92278,5.42,1.05881,0.791589,0.557769
265,2000-09-22,00:00:00.00,5.52224,3.12512,5.64,1.13693,0.850996,0.598826
266,2000-09-23,00:00:00.00,0.653987,3.46419,5.77,1.25537,0.940233,0.665286
267,2000-09-24,00:00:00.00,13.274,3.95553,6.13,1.44063,1.07789,0.761663
268,2000-09-25,00:00:00.00,0.225963,4.71477,7.33,1.73437,1.2962,0.911214
269,2000-09-26,00:00:00.00,0.267751,4.33615,6.95,1.59395,1.19174,0.837902
270,2000-09-27,00:00:00.00,0.217955,3.51157,6.2,1.28515,0.961802,0.677112
271,2000-09-28,00:00:00.00,0.139006,3.40223,5.66,1.24427,0.93098,0.655522
272,2000-09-29,00:00:00.00,0.476216,3.31575,5.29,1.21197,0.906567,0.638405
273,2000-09-30,00:00:00.00,0.340741,3.2334,4.94,1.18124,0.883347,0.622114
274,2000-10-01,00:00:00.00,0.0126929,3.15428,4.72,1.15174,0.861079,0.606489
275,2000-10-02,00:00:00.00,0.0533029,3.07797,4.53,1.12331,0.839635,0.591447
276,2000-10-03,00:00:00.00,0.357591,3.00474,4.46,1.09606,0.819079,0.577022
277,2000-10-04,00:00:00.00,0.055452,2.93473,4.35,1.07004,0.799456,0.563237
278,2000-10-05,00:00:00.00,4.15595,3.01707,4.34,1.09895,0.822213,0.579967
279,2000-10-06,00:00:00.00,0.333675,3.19433,4.62,1.16197,0.871237,0.615634
280,2000-10-07,00:00:00.00,0.56305,3.0626,4.74,1.11428,0.834982,0.589685
281,2000-10-08,00:00:00.00,4.59533,3.0593,5.06,1.09976,0.823782,0.586002
282,2000-10-09,00:00:00.00,0.415483,3.35733,5.39,1.18472,0.888736,0.640065
283,2000-10-10,00:00:00.00,0.201627,3.19136,5.55,1.13114,0.848169,0.609105
