time,date,hour,precip [mm/day],sub7023 [m3/s],sub7024 [m3/s],sub7024 (observed) [m3/s]
233,2000-08-21,00:00:00.00,0.573459,0.186086,3.13528,12.3461
234,2000-08-22,00:00:00.00,0.605456,0.133916,2.49376,17.1317
235,2000-08-23,00:00:00.00,0.338101,0.111005,2.08137,15.461
236,2000-08-24,00:00:00.00,14.0196,0.105275,2.0011,19.5953
237,2000-08-25,00:00:00.00,0.703545,0.13431,2.55069,13.0824
238,2000-08-26,00:00:00.00,0.108897,0.185268,3.34282,21.9739
239,2000-08-27,00:00:00.00,3.48208,0.176433,3.10546,21.2376
240,2000-08-28,00:00:00.00,16.4868,0.137211,2.53353,22.6535
241,2000-08-29,00:00:00.00,0.184449,0.154244,2.98165,44.7406
242,2000-08-30,00:00:00.00,0.51806,0.196609,3.60569,70.2258
243,2000-08-31,00:00:00.00,0.710994,0.180831,3.17761,80.1367
244,2000-09-01,00:00:00.00,0.372928,0.131652,2.37977,53.5188
245,2000-09-02,00:00:00.00,1.04988,0.109649,2.03052,41.9089
246,2000-09-03,00:00:00.00,0.614524,0.097647,1.84669,29.7327
247,2000-09-04,00:00:00.00,0.622455,0.0903428,1.74029,23.7578
248,2000-09-05,00:00:00.00,13.1521,0.0943451,1.7908,19.5953
249,2000-09-06,00:00:00.00,0.122929,0.139643,2.37965,16.4804
250,2000-09-07,00:00:00.00,0.046544,0.199665,3.09605,14.9796
251,2000-09-08,00:00:00.00,0.0182929,0.184283,2.85722,15.7725
252,2000-09-09,00:00:00.00,1.24871,0.133981,2.21055,14.7814
253,2000-09-10,00:00:00.00,3.30719,0.120639,1.9493,13.3656
254,2000-09-11,00:00:00.00,18.848,0.135099,2.08159,20.02
255,2000-09-12,00:00:00.00,0.984489,0.18192,2.91884,63.7129
256,2000-09-13,00:00:00.00,15.1496,0.216498,3.60603,95.7109
257,2000-09-14,00:00:00.00,0.249564,0.217844,3.6743,120.63
258,2000-09-15,00:00:00.00,5.46745,0.217806,3.7031,139.319
259,2000-09-16,00:00:00.00,0.187008,0.206669,3.32523,153.76
260,2000-09-17,00:00:00.00,0.205687,0.198883,2.84441,99.3921
261,2000-09-18,00:00:00.00,0.102472,0.173413,2.48396,79.2872
262,2000-09-19,00:00:00.00,0.242019,0.131024,2.08384,52.6693
263,2000-09-20,00:00:00.00,0.157605,0.111535,1.8841,53.5188
264,2000-09-21,00:00:00.00,18.4469,0.10999,1.95019,41.3426
265,2000-09-22,00:00:00.00,2.79354,0.149333,2.71723,33.4139
266,2000-09-23,00:00:00.00,1.59536,0.193025,3.53387,25.117
267,2000-09-24,00:00:00.00,23.1451,0.195065,3.44405,31.4317
268,2000-09-25,00:00:00.00,12.2021,0.207378,3.43381,95.7109
269,2000-09-26,00:00:00.00,3.28772,0.187867,9.8338,119.497
270,2000-09-27,00:00:00.00,2.18111,0.174252,9.968,113.551
271,2000-09-28,00:00:00.00,0.0611395,0.173212,3.45548,100.525
272,2000-09-29,00:00:00.00,0.136366,0.134884,2.73243,60.3149
273,2000-09-30,00:00:00.00,0.199009,0.117266,2.35105,44.1743
274,2000-10-01,00:00:00.00,0.0952163,0.107677,2.09376,37.0951
275,2000-10-02,00:00:00.00,0.147596,0.101898,1.95941,35.3961
276,2000-10-03,00:00:00.00,0.181057,0.0981071,1.87836,26.0515
277,2000-10-04,00:00:00.00,0.519738,0.0954427,1.8242,19.1988
278,2000-10-05,00:00:00.00,14.2869,0.105217,1.93536,21.6624
279,2000-10-06,00:00:00.00,34.2746,0.169562,2.88683,41.0594
280,2000-10-07,00:00:00.00,0.890976,0.311591,18.0727,239.277
281,2000-10-08,00:00:00.00,0.73726,0.309046,22.7549,257.4
282,2000-10-09,00:00:00.00,0.397256,0.188848,9.2754,225.119
283,2000-10-10,00:00:00.00,0.108866,0.146242,3.86336,172.45
284,2000-10-11,00:00:00.00,0.0604064,0.1254,2.17474,115.25
285,2000-10-12,00:00:00.00,0.10759,0.114027,2.06579,78.7208
286,2000-10-13,00:00:00.00,0.14675,0.107492,2.00338,47.8555
287,2000-10-14,00:00:00.00,0.106716,0.103394,1.963,38.5109
288,2000-10-15,00:00:00.00,0.22266,0.100615,1.93352,38.5109
289,2000-10-16,00:00:00.00,6.10409,0.100699,1.9575,29.1664
