time,date,hour,precip [mm/day],sub7051 [m3/s],sub7052 [m3/s],sub7053 [m3/s],sub7053 (observed) [m3/s],sub7053 (res. inflow) [m3/s]
222,2000-08-10,00:00:00.00,24.7623,0.933346,3.01623,2.24458,56.5,2.63856
223,2000-08-11,00:00:00.00,0.0810867,0.796218,2.94936,1.93021,59.4,2.59353
224,2000-08-12,00:00:00.00,0.0331242,0.80709,3.31572,1.97626,65.1,3.10199
225,2000-08-13,00:00:00.00,0.0643282,0.961986,4.05304,2.56814,72.2,4.09322
226,2000-08-14,00:00:00.00,1.58886,1.22988,4.8329,3.71287,81,5.47596
227,2000-08-15,00:00:00.00,0.774527,1.50279,5.23743,5.16344,89.5,6.9161
228,2000-08-16,00:00:00.00,4.13071,1.49413,4.84267,6.14583,95.6,7.30307
229,2000-08-17,00:00:00.00,0.122924,1.21603,3.88529,6.18711,97.8,6.40751
230,2000-08-18,00:00:00.00,0.422135,0.94028,3.00826,5.34072,101,5.18236
231,2000-08-19,00:00:00.00,3.00656,0.715782,2.34323,4.23005,101,4.08245
232,2000-08-20,00:00:00.00,0.260244,0.554868,1.90968,3.21575,99,3.20649
233,2000-08-21,00:00:00.00,0.0678094,0.483937,1.71477,2.35554,94.2,2.69749
234,2000-08-22,00:00:00.00,0.248519,0.475239,1.66979,1.978,89.7,2.52974
235,2000-08-23,00:00:00.00,0.950965,0.474356,1.65606,1.83099,86.4,2.4374
236,2000-08-24,00:00:00.00,4.54491,0.473675,1.64945,1.68955,88.9,2.36574
237,2000-08-25,00:00:00.00,0.0600888,0.472346,1.64282,1.53494,89.5,2.29124
238,2000-08-26,00:00:00.00,0.0339912,0.470621,1.6362,1.44529,88.2,2.23658
239,2000-08-27,00:00:00.00,11.2258,0.469021,1.62996,1.64304,86.3,2.31993
240,2000-08-28,00:00:00.00,0.0786724,0.467967,1.6253,1.72718,84.2,2.39491
241,2000-08-29,00:00:00.00,0.177894,0.467947,1.62359,1.55235,82.5,2.33319
242,2000-08-30,00:00:00.00,0.511907,0.474182,1.6278,1.56819,80.8,2.33797
243,2000-08-31,00:00:00.00,0.463419,0.496696,1.66388,1.72604,77.7,2.50748
244,2000-09-01,00:00:00.00,0.462576,0.526165,1.72805,1.81131,73.5,2.68707
245,2000-09-02,00:00:00.00,5.98006,0.526158,1.7355,1.89284,69.2,2.72218
246,2000-09-03,00:00:00.00,0.313016,0.498509,1.70713,2.01496,66.1,2.68288
247,2000-09-04,00:00:00.00,9.54696,0.478221,1.72924,2.12093,63.7,2.66391
248,2000-09-05,00:00:00.00,0.113693,0.477345,1.82051,2.14727,61.8,2.6815
249,2000-09-06,00:00:00.00,0.0817132,0.496494,1.98692,2.13774,60,2.75494
250,2000-09-07,00:00:00.00,0.0527185,0.538291,2.19449,2.18164,58.8,2.91187
251,2000-09-08,00:00:00.00,0.116047,0.597459,2.29842,2.31877,58,3.16374
252,2000-09-09,00:00:00.00,0.349194,0.653669,2.26832,2.69074,56.9,3.49931
253,2000-09-10,00:00:00.00,0.0481761,0.651831,2.13682,2.85982,56.7,3.5069
254,2000-09-11,00:00:00.00,4.82317,0.595457,1.93249,2.79288,59,3.20758
255,2000-09-12,00:00:00.00,1.02574,0.541793,1.78328,2.64593,63.3,2.94716
256,2000-09-13,00:00:00.00,9.27207,0.50751,1.72059,2.40069,64.7,2.75938
257,2000-09-14,00:00:00.00,0.123857,0.496504,1.70367,2.24673,65.3,2.7129
258,2000-09-15,00:00:00.00,1.6519,0.511308,1.6984,2.29395,64.6,2.8641
259,2000-09-16,00:00:00.00,0.3285,0.551481,1.69528,2.63999,62.9,3.21852
260,2000-09-17,00:00:00.00,0.459806,0.597542,1.69407,2.90017,61.5,3.54509
261,2000-09-18,00:00:00.00,0.133937,0.633053,1.69399,3.05021,60.3,3.74722
262,2000-09-19,00:00:00.00,0.218624,0.62465,1.68865,3.10489,59.8,3.68707
263,2000-09-20,00:00:00.00,0.0697958,0.575727,1.68005,3.03739,59.1,3.40084
264,2000-09-21,00:00:00.00,7.47224,0.530146,1.67342,2.84282,58.6,3.12476
265,2000-09-22,00:00:00.00,9.47486,0.508325,1.66796,2.67549,60.4,3.02156
266,2000-09-23,00:00:00.00,0.0857272,0.524739,1.66932,2.66624,60.7,3.08167
267,2000-09-24,00:00:00.00,1.76806,0.583509,1.73382,2.73999,60.5,3.26282
268,2000-09-25,00:00:00.00,0.155391,0.678204,1.88542,3.00936,59.7,3.64361
269,2000-09-26,00:00:00.00,0.13803,0.790471,2.08574,3.39197,59.3,4.10944
270,2000-09-27,00:00:00.00,0.429427,0.868178,2.27042,3.7078,58.9,4.43862
271,2000-09-28,00:00:00.00,0.753651,0.84427,2.28821,3.87119,57.9,4.42633
272,2000-09-29,00:00:00.00,0.345618,0.752248,2.16112,3.86739,57.7,4.16502
273,2000-09-30,00:00:00.00,0.159215,0.659878,2.00395,3.5625,57.5,3.78576
274,2000-10-01,00:00:00.00,0.0662482,0.583968,1.84388,3.21692,56.7,3.44167
275,2000-10-02,00:00:00.00,0.45359,0.549344,1.75129,3.04564,56.5,3.27445
276,2000-10-03,00:00:00.00,6.04453,0.545377,1.72886,2.95731,56.5,3.22687
277,2000-10-04,00:00:00.00,0.486633,0.543396,1.729,2.9196,56,3.23032
278,2000-10-05,00:00:00.00,0.40296,0.5418,1.77592,2.92657,55.7,3.2359
279,2000-10-06,00:00:00.00,0.173319,0.540707,1.91345,2.93175,55.6,3.23363
280,2000-10-07,00:00:00.00,5.69719,0.540272,2.1307,2.94755,55.3,3.24012
281,2000-10-08,00:00:00.00,1.86001,0.540128,2.37197,3.02311,54.9,3.27265
282,2000-10-09,00:00:00.00,0.807798,0.539811,2.44454,3.0869,54.2,3.31377
283,2000-10-10,00:00:00.00,0.193185,0.544359,2.3497,3.06969,54.4,3.32232
284,2000-10-11,00:00:00.00,0.634759,0.558897,2.27367,2.96341,54,3.2928
285,2000-10-12,00:00:00.00,0.17139,0.578515,2.2259,2.91167,53.5,3.2997
286,2000-10-13,00:00:00.00,0.174144,0.584538,2.118,2.91875,53.1,3.30645
287,2000-10-14,00:00:00.00,5.36113,0.569361,1.97033,2.95457,55.3,3.27681
288,2000-10-15,00:00:00.00,22.2685,0.574958,1.93359,2.99613,64.8,3.32569
289,2000-10-16,00:00:00.00,0.397507,0.674204,2.14519,3.25535,79.1,3.82877
290,2000-10-17,00:00:00.00,0.0888498,0.885576,2.63841,3.99719,93.3,4.97344
291,2000-10-18,00:00:00.00,0.238604,1.18615,3.36348,5.30743,105,6.67869
292,2000-10-19,00:00:00.00,2.78755,1.56387,4.28792,7.19186,115,8.93696
293,2000-10-20,00:00:00.00,0.174371,1.91159,5.14436,9.38667,127,11.2743
294,2000-10-21,00:00:00.00,0.399206,1.91776,5.18704,10.9813,137,12.0062
295,2000-10-22,00:00:00.00,0.0476503,1.62447,4.52277,11.1078,146,10.9462
296,2000-10-23,00:00:00.00,0.172593,1.33259,3.87365,10.1096,153,9.45998
297,2000-10-24,00:00:00.00,0.546144,1.08958,3.34072,8.65712,157,7.90861
298,2000-10-25,00:00:00.00,0.627835,0.893096,2.86756,7.16686,159,6.50127
299,2000-10-26,00:00:00.00,0.083521,0.786584,2.53198,6.00738,161,5.61972
300,2000-10-27,00:00:00.00,0.409822,0.765496,2.4204,5.2653,161,5.20885
