time,date,hour,precip [mm/day],sub710 [m3/s],sub710 (observed) [m3/s],sub685 [m3/s],sub685 (observed) [m3/s],sub684 [m3/s],sub684 (observed) [m3/s],sub676 [m3/s],sub676 (observed) [m3/s],sub677 [m3/s],sub677 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub701 [m3/s],sub701 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub683 [m3/s],sub683 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub698 [m3/s],sub698 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub682 [m3/s],sub682 (observed) [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub678 [m3/s],sub678 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub691 (observed) [m3/s],sub693 [m3/s],sub693 (observed) [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub689 [m3/s],sub689 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub724 [m3/s],sub724 (observed) [m3/s],sub723 [m3/s],sub723 (observed) [m3/s],sub720 [m3/s],sub720 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s]
201,2010-07-21,00:00:00.00,0.166251,5.48365,0.3879,0.863498,4.43,0.548209,1.34,3.51936,0.412,5.41744,3.88,0.670514,1.48,2.00234,0.51,3.78873,1.55,3.17708,0.723,1.17046,1.2,0.499818,0.52,6.79083,3.23,1.54847,4.41,1.94399,1.82,1.10948,4.72,0.798022,2.07,6.21776,1.3309,2.37292,0.4559,1.94108,0.8099,5.41743,6.6545,3.95174,11.0436,4.76307,13.8753,7.67555,1.9878,0.747902,0.6258,5.44319,0.7589,3.2975,0.3285,1.23289,1.178,11.2633,13.7337
202,2010-07-22,00:00:00.00,0.0211067,4.88101,0.3596,0.698169,4.11,0.26466,1.13,1.91043,0.324,4.74987,3.72,0.360576,1.04,0.520257,0.347,2.00346,1.35,0.98092,0.481,0.639198,0.988,0.198662,0.205,4.32501,2.25,0.588435,2.53,1.15853,0.733,0.727792,4.02,0.412069,0.755,6.17796,1.2148,2.37184,0.4106,1.96268,0.7108,5.77795,5.5784,4.41374,7.5889,5.02344,10.6188,7.51028,1.1327,0.723164,0.5522,4.1148,2.1464,2.17758,0.3058,1.20427,1.0477,11.5023,12.0347
203,2010-07-23,00:00:00.00,0.0269771,3.29649,0.5918,0.469958,3.84,0.169146,0.841,1.95154,0.263,3.7028,4.21,0.223057,0.86,0.49282,0.301,1.18303,1.23,0.871153,0.383,0.377705,0.823,0.151289,0.135,3.28287,1.76,0.357042,1.47,1.14358,0.379,0.510326,2.32,0.191995,0.238,5.99134,0.9599,2.32974,0.3653,1.92705,0.6513,4.69667,5.4652,2.83089,6.1731,4.00669,8.0986,6.67486,0.9118,1.75726,1.379,3.2365,0.824,1.64394,0.2345,1.1136,0.8127,11.251,13.0257
204,2010-07-24,00:00:00.00,0.976693,4.1682,0.79,0.924449,4.3,1.00738,2.34,9.32527,2.59,12.0617,12.4,1.01618,1.89,2.3133,2.17,3.06779,1.41,3.82583,1.16,1.09936,0.812,0.366597,1.05,5.64268,1.61,0.622599,1.16,2.36395,0.267,0.897883,1.11,0.401327,0.123,7.99945,1.0166,3.01449,0.3426,2.33798,0.5975,5.34526,6.2863,5.38554,15.8574,6.1556,16.3388,7.67235,3.1432,2.88215,2.5004,3.17706,0.4559,1.73663,0.1971,1.47018,2.506,13.3087,21.804
205,2010-07-25,00:00:00.00,0.831186,9.3185,1.716,2.32106,5.69,1.8281,7.78,12.5671,6.73,24.6902,8.93,2.3143,2.13,3.06696,1.77,4.97483,1.83,4.55907,1.36,1.99807,1.67,0.905387,11.9,8.68591,1.67,1.01404,1.77,2.63569,0.207,1.17868,0.688,0.55504,0.069,10.7967,0.926,3.51586,0.3426,2.80787,0.606,6.86901,7.6172,7.47238,17.8396,8.24405,24.2675,8.39252,2.826,3.08317,4.5873,4.60447,0.3653,2.09216,0.538,3.53359,6.5978,24.7265,76.7387
206,2010-07-26,00:00:00.00,0.517784,14.9867,4.2192,2.83837,19,1.14088,5.22,4.19746,2.11,18.2531,8.68,1.96991,1.48,1.13773,0.805,3.39724,1.62,1.5825,0.791,1.56568,2.75,1.33795,3.31,8.07559,1.59,1.11747,1.3,1.69911,0.194,0.91835,0.491,0.474716,0.037,9.60956,0.9911,2.85552,0.3256,2.3684,0.7136,5.91977,6.7111,5.71198,15.2345,6.20877,18.6891,7.51184,2.6193,3.08397,5.9749,11.5536,0.7136,3.32114,2.7241,4.91008,8.4101,39.3744,72.7743
207,2010-07-27,00:00:00.00,0.000174176,12.5885,9.5145,1.69323,12.6,0.310756,2.86,1.05361,1.28,5.25077,7.19,0.594079,1.48,0.458263,0.508,1.43941,1.38,0.827733,0.506,0.643686,1.59,0.850307,2.1,5.40677,1.62,0.786913,1.03,1.39849,0.189,0.68667,0.381,0.361512,0.023,7.05819,0.8863,2.31038,0.3002,1.83603,0.5975,4.50984,5.2386,4.65322,7.7022,4.53439,10.364,6.55827,1.3592,2.0117,5.1253,15.1224,4.8139,3.34286,2.4268,3.13266,3.5113,37.8864,37.3782
208,2010-07-28,00:00:00.00,0,5.84771,3.3697,0.669371,7.63,0.157193,1.84,1.50614,0.714,2.8221,5.58,0.16985,1.47,0.463437,0.405,1.1278,1.18,0.817214,0.387,0.340998,1.08,0.179146,0.589,3.54995,1.57,0.407236,0.937,1.07138,0.191,0.53438,0.29,0.237774,0.017,6.00956,0.7702,2.18762,0.286,1.73506,0.521,3.56505,3.9644,2.66645,5.6634,3.6235,7.3057,4.74794,0.909,0.818925,2.4494,7.72357,1.6282,2.02218,1.0081,1.33195,1.6735,22.9109,23.0499
209,2010-07-29,00:00:00.00,0.375207,2.99619,1.7075,1.49413,7.08,0.518773,1.42,1.73361,0.481,3.33071,4.63,2.05478,2.05,0.708166,0.267,2.29875,1.13,1.19101,0.326,1.40485,7.12,0.320621,0.312,3.23137,1.39,0.423234,0.886,1.16695,0.146,0.477156,0.252,0.204985,0.013,5.69498,0.8127,2.54656,0.303,2.22786,0.4729,4.76164,3.5113,4.27408,9.8259,5.94587,11.0719,5.10911,2.1436,1.08633,2.1747,2.2597,0.8778,1.56123,0.5833,1.01263,1.5093,12.1378,20.3881
210,2010-07-30,00:00:00.00,0.353501,4.71813,1.9482,2.40583,8.38,0.623584,1.19,2.06645,0.35,3.4069,4.09,2.77057,8.01,0.746112,0.253,3.00165,1.18,1.18434,0.303,2.01517,51.8,0.410702,0.359,3.47146,1.22,0.463061,0.831,1.15317,0.107,0.474764,0.229,0.20977,0.012,5.52671,0.6258,2.82357,0.2557,2.72149,0.4389,6.0992,4.4741,5.42186,9.203,7.24418,14.4699,6.24661,1.9907,1.56914,1.9142,3.1872,0.6796,1.69998,0.5578,2.7723,3.7095,15.0726,33.4139
211,2010-07-31,00:00:00.00,0,7.32325,6.5129,1.50578,6.57,0.259158,0.837,1.35824,0.28,3.11485,3.72,0.872335,4.03,0.43938,0.214,1.86787,1.78,0.789972,0.262,0.928333,19,0.166524,0.246,3.22872,1.13,0.319014,0.701,1.03005,0.085,0.4579,0.21,0.190626,0.011,5.43124,0.7249,2.43958,0.2217,2.21408,0.4276,4.73283,3.5396,2.53568,5.0121,4.33728,6.7111,5.97228,1.076,1.14239,1.0279,3.71723,0.4276,1.75012,0.6966,3.48802,1.8123,21.9559,23.0216
212,2010-08-01,00:00:00.00,0.0251864,5.9901,2.7552,0.618267,4.98,0.156902,0.664,1.33506,0.239,3.04002,3.52,0.152284,2.17,0.445054,0.184,1.11216,1.57,0.776355,0.245,0.314064,6.04,0.122251,0.164,3.40156,1.05,0.298603,0.643,1.54222,0.069,0.514887,0.172,0.191691,0.01,5.34713,0.6739,2.11714,0.2254,1.68148,0.4106,3.58828,3.6529,1.73848,4.5873,3.17631,5.9465,5.38593,0.8184,0.673586,0.8353,3.11816,0.3596,1.6119,0.3908,1.64317,1.1383,20.4047,17.2733
213,2010-08-02,00:00:00.00,0.0221145,3.28549,1.5688,0.409917,4.54,0.164462,0.615,1.43878,0.211,3.00238,3.5,0.223603,1.54,0.440321,0.155,1.07804,1.3,0.76642,0.236,0.338819,3.76,0.137006,0.133,3.76967,1.02,0.289672,0.618,1.63799,0.06,0.572324,0.149,0.194776,0.008,5.81678,0.6485,2.07853,0.2059,1.62864,0.4361,3.21447,3.9927,1.9372,5.6067,3.2852,7.1075,4.22907,0.7249,0.618075,0.7532,2.91904,0.2973,1.5355,0.2421,0.925207,0.943,14.6099,13.9602
214,2010-08-03,00:00:00.00,0.00257197,2.28431,1.1185,0.335468,4.22,0.157113,0.602,1.25996,0.19,2.97087,3.41,0.209008,1.28,0.42363,0.147,1.08348,1.17,0.756559,0.226,0.329605,2.51,0.127241,0.117,3.55763,1,0.28653,0.594,1.09924,0.053,0.500201,0.13,0.185118,0.006,6.44799,0.6485,2.06742,0.2243,1.60705,0.4332,2.90267,3.1998,1.83148,4.4174,3.16772,5.7483,3.42737,0.6768,0.623598,0.6626,2.85879,0.2614,1.52307,0.1719,0.976335,0.8552,10.5632,12.8558
215,2010-08-04,00:00:00.00,0.0313309,2.15767,0.9033,0.33044,3.91,0.149737,0.485,1.21213,0.173,2.92659,3.37,0.208315,1.08,0.417387,0.139,1.05537,1.09,0.746852,0.219,0.323187,1.92,0.129658,0.104,3.17313,0.956,0.27871,0.585,0.977205,0.051,0.431181,0.108,0.177759,0.005,6.04554,0.5522,2.02021,0.2047,1.58761,0.4276,2.85765,2.9733,1.8481,3.9927,3.16455,5.2953,3.15594,0.6088,0.613931,0.5862,3.66588,0.2472,1.63717,0.1886,1.01372,0.875,9.57915,12.8842
216,2010-08-05,00:00:00.00,0.0187561,2.14182,0.7504,0.319401,3.72,0.146706,0.659,1.20282,0.156,2.88443,3.35,0.205416,0.907,0.488322,0.191,1.04264,1.06,0.745076,0.222,0.318302,1.61,0.126068,0.093,2.95755,0.964,0.277293,0.594,0.998971,0.052,0.431269,0.091,0.176523,0.004,5.28144,0.6683,1.98767,0.2064,1.63527,0.4163,2.7965,2.7524,1.81421,4.3042,3.21831,5.6067,2.92158,0.5692,0.611951,0.5805,4.26431,0.254,1.73663,0.2169,1.14177,0.8948,9.67861,13.5638
217,2010-08-06,00:00:00.00,0.2692,2.25146,0.6739,0.317086,3.58,0.144934,0.71,1.18301,0.15,2.84907,3.26,0.202911,0.969,0.908142,0.373,1.75608,1.31,1.75555,0.401,0.330977,1.41,0.128128,0.095,2.97756,0.932,0.2749,0.595,1.18301,0.066,0.457556,0.086,0.176707,0.003,4.97889,0.5239,1.98235,0.1855,1.66799,0.4021,2.7972,2.1606,1.81812,3.6246,3.31617,4.7855,2.80285,0.5493,0.607824,0.5975,7.65984,0.4248,2.97915,0.7249,1.94253,5.3236,12.1256,32.2812
218,2010-08-07,00:00:00.00,0.0307749,2.90811,0.5748,0.312392,3.37,0.143137,0.666,1.16919,0.122,2.81526,3.15,0.200378,1.19,0.871514,0.274,2.02852,1.15,1.73876,0.658,0.32816,1.23,0.127417,0.085,3.00013,1,0.288327,0.608,1.14256,0.055,0.471544,0.082,0.187982,0.002,4.91378,0.6173,1.96344,0.1724,1.6,0.3993,2.8042,2.5967,1.78006,3.5396,3.16614,4.8139,2.73021,0.4757,0.596878,0.5267,9.93242,0.3143,3.52679,2.7779,2.03294,3.8794,14.9511,21.2943
219,2010-08-08,00:00:00.00,0.000322389,3.3906,0.4814,0.308634,3.17,0.141364,0.504,1.15279,0.065,2.78146,3.07,0.197886,0.749,0.402082,0.187,1.26844,1.08,0.714858,0.307,0.307261,1.1,0.12282,0.076,2.80437,0.946,0.288232,0.62,0.933497,0.045,0.437484,0.073,0.193753,0.002,4.85207,0.5465,1.92115,0.164,1.53485,0.3794,2.74264,1.8378,1.74976,2.86,3.01509,3.936,2.69654,0.4644,0.587968,0.5182,5.66417,0.4134,1.99077,2.6646,1.11412,1.9878,13.4613,16.622
220,2010-08-09,00:00:00.00,0.0227661,3.06822,0.4786,0.363751,3.07,0.219267,0.496,1.67631,0.042,3.03721,3.08,0.202134,0.639,0.387188,0.167,1.0394,1.07,0.707163,0.246,0.308726,1.02,0.120178,0.075,2.67134,0.887,0.268086,0.635,0.914651,0.04,0.404514,0.068,0.176768,0.001,4.8026,0.6116,1.89471,0.1713,1.49857,0.3766,2.68576,1.7358,1.72435,2.6476,2.96528,3.8228,2.66263,0.4219,0.582168,0.5352,2.52201,0.3511,1.30684,0.943,0.877918,1.127,10.8317,13.677
221,2010-08-10,00:00:00.00,0.149228,2.52596,0.5267,0.832851,3.29,0.401276,0.45,2.16831,0.065,4.96145,3.37,0.85121,0.618,0.458997,0.242,1.24238,1.07,0.817949,0.234,0.655283,1.05,0.119238,0.074,2.99491,0.864,0.325872,0.644,1.1273,0.038,0.452293,0.072,0.202933,0.002,5.33399,0.6286,2.1699,0.1716,1.63369,0.3851,2.74934,1.6905,1.70606,2.5797,3.14275,3.7945,2.64892,0.4106,0.584488,0.6031,2.458,0.2687,1.42072,0.5239,0.885447,0.9345,9.04709,11.3267
222,2010-08-11,00:00:00.00,0.013844,2.14789,0.4786,1.20768,4.54,0.359454,0.529,1.60078,1.9,6.86266,3.44,1.17841,1.57,0.459537,0.172,1.34655,1.08,0.826688,0.316,0.860754,1.16,0.150343,0.074,3.28448,0.874,0.351442,0.655,1.11539,0.034,0.486882,0.079,0.222217,0.003,5.92624,0.504,2.34987,0.1733,1.79347,0.3794,2.90783,1.7132,1.68365,2.5995,3.35013,3.8511,2.65296,0.4757,0.697157,0.7589,2.59749,0.2662,1.38904,0.3256,0.867901,0.9599,8.2649,12.1196
223,2010-08-12,00:00:00.00,0.0326958,2.00525,0.3936,0.83577,3.81,0.172548,0.536,1.08586,0.094,5.58358,3.24,0.473614,1.23,0.386109,0.17,1.18617,1.05,0.692709,0.253,0.499242,1.07,0.157148,0.076,2.8626,0.897,0.275969,0.668,0.87892,0.029,0.427235,0.076,0.179963,0.003,5.46568,0.5918,2.05529,0.1838,1.66534,0.3851,2.85966,1.6905,1.66425,2.6051,3.12049,3.0299,2.67687,0.4474,1.58432,3.2564,3.13702,0.265,1.38989,0.2432,0.859651,0.9316,8.05429,10.3356
224,2010-08-13,00:00:00.00,0.309497,3.61895,1.0109,0.417548,3.46,0.131395,0.551,1.08091,0.078,3.53495,3.22,0.143176,0.81,0.368866,0.155,0.982252,1.03,0.664841,0.237,0.279658,0.96,0.118748,0.074,2.8622,0.879,0.298832,0.69,1.26388,0.03,0.747343,0.086,0.325401,0.003,5.36067,0.5833,3.23622,0.2093,2.83375,0.4446,3.41982,1.7925,2.16107,3.0582,5.85352,3.9927,2.94502,0.4729,1.96965,1.8632,4.10741,0.2917,1.72826,0.2095,0.920145,15.9424,9.2261,51.8198
225,2010-08-14,00:00:00.00,8.08651e-05,5.04581,0.5267,0.308303,3.28,0.131224,0.518,1.06061,0.062,2.7995,3.63,0.190452,0.65,0.370778,0.134,0.918317,0.991,0.656221,0.221,0.283123,0.881,0.111224,0.069,2.97752,0.854,0.315361,0.706,1.2524,0.026,0.852551,0.083,0.382938,0.002,5.50882,0.5295,4.12483,0.173,3.82412,1.1723,4.09912,1.6735,2.34787,2.6136,7.7719,3.5113,3.05443,0.4219,1.01944,0.8778,3.7334,0.267,1.96384,0.1727,0.91362,10.7321,9.77663,28.3168
226,2010-08-15,00:00:00.00,0.0827852,4.13177,0.7759,0.284322,3.1,0.129542,0.556,1.04936,0.05,2.60904,3.12,0.180165,0.563,0.359861,0.11,0.911921,0.956,0.647482,0.198,0.279776,0.893,0.112839,0.068,2.55221,0.842,0.260001,0.712,0.844493,0.024,0.487355,0.07,0.208453,0.002,4.97589,0.6031,2.80155,0.2209,2.49201,0.9373,3.5703,1.5942,1.70847,2.4891,4.43462,3.4263,2.81815,0.4078,0.524975,0.7079,3.41916,0.2752,1.91318,0.1659,0.950385,5.1537,9.99916,21.9739
227,2010-08-16,00:00:00.00,0.123737,3.07457,0.7844,0.28096,3.02,0.127973,0.862,1.15037,0.04,2.66374,2.93,0.179201,0.522,0.593749,0.187,0.965665,0.976,1.0929,0.251,0.28507,0.99,0.109951,0.07,2.36344,0.817,0.242799,0.715,0.8333,0.023,0.370807,0.076,0.148913,0.002,4.54592,0.4757,1.85725,0.1979,1.43226,0.7136,3.04607,1.5376,1.88434,3.6529,2.62294,3.8228,2.84769,0.4984,0.700097,0.4644,5.79191,0.2832,2.90284,0.1572,1.02733,4.2758,12.1232,22.9083
228,2010-08-17,00:00:00.00,0.0136622,2.65284,0.5437,0.275399,3.05,0.126386,0.596,1.21583,0.037,2.83342,3.05,0.176764,0.53,0.651078,0.312,0.978567,0.966,1.21726,0.208,0.280777,0.855,0.112325,0.08,2.36247,0.823,0.238589,0.706,0.822247,0.02,0.36124,0.072,0.151457,0.001,4.33333,0.4701,1.72109,0.1767,1.3769,0.6031,2.89906,1.5857,2.13105,4.1626,2.86557,5.805,2.79872,0.9118,0.727497,0.4078,6.4546,0.4078,3.13537,0.1495,0.915775,2.6533,12.154,15.461
229,2010-08-18,00:00:00.00,0,2.51526,0.8976,0.272756,3.03,0.124782,0.434,1.0671,0.033,3.0048,2.97,0.174595,0.487,0.396143,0.261,0.898435,0.886,0.75521,0.179,0.268292,0.742,0.110969,0.071,2.31989,0.802,0.234454,0.682,0.811332,0.021,0.356299,0.063,0.149209,0.001,4.29059,0.4304,1.68553,0.1671,1.35212,0.5409,2.64439,1.413,1.6676,2.4437,2.64505,2.6363,2.57737,0.589,0.568154,0.3228,3.81861,0.4559,1.86691,0.1277,0.819519,1.5857,10.0716,13.4788
230,2010-08-19,00:00:00.00,0.000506275,2.2391,0.9316,0.268901,2.89,0.123233,0.365,0.984638,0.029,2.89526,3.06,0.172415,0.448,0.340062,0.19,0.860705,0.841,0.614268,0.164,0.264802,0.704,0.106625,0.06,2.29289,0.748,0.231427,0.691,0.800553,0.021,0.351613,0.057,0.147358,0,4.25962,0.4559,1.66312,0.173,1.32575,0.4644,2.48866,1.2969,1.51077,2.3163,2.63375,2.3758,2.52077,0.4191,0.510064,0.2767,2.37332,1.3366,1.27138,0.1509,0.79218,1.2205,8.08116,11.9497
231,2010-08-20,00:00:00.00,0.0352988,1.941,0.6145,0.265741,2.77,0.121704,0.305,1.00602,0.028,2.59081,3.02,0.170269,0.444,0.343472,0.143,0.851886,0.84,0.606255,0.151,0.261334,0.688,0.104934,0.059,2.26161,0.739,0.227793,0.691,0.789909,0.026,0.346995,0.061,0.145502,0,5.15018,0.3823,2.01328,0.1555,1.48612,0.4304,2.38085,1.2374,1.53956,2.3956,2.67164,2.8883,2.46088,0.3738,0.517194,0.2483,2.31945,0.7759,1.24258,0.1461,0.778285,1.0704,7.26944,12.4594
232,2010-08-21,00:00:00.00,0.061537,1.80137,0.4389,0.262364,2.64,0.120193,0.375,1.01867,0.027,2.40081,2.91,0.168149,0.433,0.332213,0.134,0.840302,0.841,0.59834,0.138,0.257913,0.66,0.10381,0.058,2.23148,0.738,0.225179,0.682,0.779399,0.028,0.342435,0.083,0.143671,0,5.97848,0.487,2.63959,0.1688,1.87646,0.4106,2.47626,1.3167,1.60897,2.3871,3.8227,3.2564,2.364,0.3455,0.508104,0.2563,2.29789,0.4814,1.24034,0.1116,0.76914,0.9826,7.15384,11.7798
233,2010-08-22,00:00:00.00,0.248784,1.78327,0.4219,0.313825,2.85,0.188263,0.34,1.3484,0.336,2.51138,3.07,0.367433,0.452,0.530888,0.814,0.837498,1.13,0.789063,0.242,0.544886,0.69,0.142615,0.065,2.71322,0.724,0.340884,0.696,0.869231,0.03,0.385887,0.087,0.178179,0,5.3112,0.3936,2.76892,0.1597,2.2587,0.4502,3.00756,1.3677,2.40449,2.6958,5.76011,3.6812,2.48396,0.4163,1.11704,1.3762,4.76002,0.4134,2.3921,0.2104,1.41634,2.6533,8.64807,18.4909
234,2010-08-23,00:00:00.00,0.872396,6.02933,1.1695,1.19003,3.84,0.360767,0.356,2.15737,1.04,4.68295,4.05,2.07053,4.32,2.94682,1.48,9.45843,2.32,6.39352,0.894,1.04445,1.02,0.291274,0.14,4.87018,0.736,0.909576,0.712,1.28956,0.037,0.557723,0.062,0.33604,0,4.50578,0.5635,2.16695,0.1654,1.98431,0.4587,3.18726,1.5008,2.65785,2.86,5.01567,3.9927,2.56777,0.4842,1.43791,0.9345,8.03005,0.5154,3.60398,2.4919,3.56217,4.4457,16.6404,40.2099
235,2010-08-24,00:00:00.00,0.0585598,11.1323,1.464,1.80888,3.53,0.388319,0.345,2.37448,0.642,7.48795,3.73,2.68787,2.18,3.00697,0.898,12.6295,2.16,6.24531,0.343,1.02513,0.917,0.291066,0.103,5.41827,0.906,1.00524,0.71,1.18538,0.037,0.611127,0.056,0.3787,0,4.10285,0.4163,1.63606,0.1957,1.38604,0.4361,2.71493,1.5206,1.68774,2.4664,2.91617,3.5113,2.40603,0.3993,0.73684,0.3851,6.03636,0.555,2.52335,1.6197,3.54699,2.0162,23.3827,18.0661
236,2010-08-25,00:00:00.00,0.0010169,8.59275,2.3616,1.03486,3.17,0.230367,0.355,1.53442,0.5,6.0908,3.27,0.939942,1.14,0.413406,0.451,3.76181,1.65,0.626291,0.233,0.578027,0.79,0.119498,0.078,3.26384,0.91,0.411757,0.724,0.744813,0.035,0.435038,0.048,0.2113,0,3.95997,0.5635,1.55403,0.1838,1.22479,0.4191,2.36429,1.4668,1.34337,2.3984,2.4483,3.3697,2.32834,0.3908,0.437281,0.3823,2.69236,0.4389,1.30509,0.7108,1.32565,1.2856,19.9563,13.4788
237,2010-08-26,00:00:00.00,0.000848833,3.63268,1.4187,0.400674,3,0.129723,0.322,0.916428,0.244,3.32043,3.19,0.124105,0.85,0.295937,0.252,0.593393,1.41,0.560898,0.192,0.302596,0.733,0.0871391,0.069,2.24959,0.873,0.238046,0.808,0.765004,0.038,0.327418,0.042,0.129607,0,3.92053,0.4191,1.52706,0.173,1.2135,0.4021,2.22522,1.396,1.4288,2.3446,2.41259,3.2848,2.26606,0.5097,0.509735,0.3313,2.14776,0.3455,1.18277,0.4134,0.686971,1.0675,13.4245,11.7798
238,2010-08-27,00:00:00.00,0,1.89505,0.8948,0.288191,2.87,0.11088,0.313,0.883016,0.119,2.46283,3.09,0.161767,0.705,0.326244,0.209,0.811936,1.27,0.552848,0.205,0.2403,0.681,0.101354,0.066,2.14322,0.829,0.223397,0.806,0.755266,0.036,0.318859,0.048,0.133883,0,3.85722,0.4814,1.50735,0.1484,1.19758,0.3823,2.14707,1.3026,1.37108,2.2852,2.37589,3.0299,2.16633,0.3653,0.472155,0.2917,2.14216,0.3256,1.1522,0.2642,0.72801,0.9713,9.11341,11.1568
239,2010-08-28,00:00:00.00,0,1.67049,0.64,0.242573,2.71,0.110146,0.33,0.88223,0.077,2.19506,3.02,0.153088,0.618,0.292136,0.171,0.764538,1.19,0.545591,0.182,0.235078,0.616,0.092511,0.064,2.02936,0.777,0.200703,0.777,0.709453,0.031,0.312295,0.047,0.131443,0,3.81609,0.4049,1.48878,0.1371,1.18302,0.3681,2.10755,1.2091,1.37403,2.1521,2.35004,2.7694,2.10898,0.3143,0.469933,0.2449,2.10722,0.2435,1.13961,0.1965,0.700176,0.8891,7.59563,10.6471
240,2010-08-29,00:00:00.00,0,1.6139,0.4757,0.239793,2.6,0.108753,0.206,0.864331,0.056,2.16055,2.94,0.152256,0.548,0.314486,0.134,0.752103,1.13,0.538424,0.168,0.232086,0.58,0.0951172,0.061,2.01053,0.761,0.208683,0.748,0.699961,0.026,0.307991,0.04,0.129822,0,3.76452,0.4955,1.47054,0.1461,1.1685,0.3511,2.07793,1.1468,1.34598,2.0954,2.31859,2.4013,2.06764,0.2917,0.463681,0.2424,2.08008,0.1889,1.12372,0.156,0.69823,0.8665,7.19404,9.9392
241,2010-08-30,00:00:00.00,0,1.57809,0.3681,0.234204,2.51,0.107402,0.202,0.85578,0.045,2.1271,2.86,0.150185,0.507,0.287526,0.116,0.745241,1.08,0.531346,0.158,0.229038,0.547,0.0920712,0.058,1.97538,0.743,0.196566,0.73,0.690592,0.021,0.30392,0.031,0.128183,0,3.72122,0.3171,1.45253,0.1444,1.15418,0.3455,2.05071,1.0987,1.33628,1.9992,2.29231,2.4069,2.03633,0.2772,0.458499,0.2288,2.05473,0.1475,1.11156,0.1274,0.687765,1.0619,6.74036,9.9958
242,2010-08-31,00:00:00.00,0.000293754,1.55478,0.3058,0.231851,2.45,0.106067,0.185,0.842495,0.038,2.10177,2.88,0.148342,0.478,0.303806,0.132,0.733553,1.05,0.524357,0.152,0.226034,0.582,0.0918481,0.055,1.95404,0.709,0.201511,0.726,0.681341,0.014,0.299909,0.026,0.126568,0,3.67786,0.3964,1.43473,0.1328,1.14002,0.3398,2.02551,1.0959,1.31564,2.087,2.26242,2.3899,2.00912,0.2784,0.453113,0.2263,2.02959,0.1127,1.09793,0.107,0.679776,0.7985,6.57974,9.203
243,2010-09-01,00:00:00.00,0.000160314,1.5345,0.2707,0.228688,2.33,0.104748,0.152,0.831966,0.035,2.07569,2.84,0.146489,0.45,0.282342,0.126,0.724425,1.08,0.517455,0.118,0.223068,0.578,0.0902474,0.056,1.92483,0.682,0.192952,0.688,0.67221,0.01,0.295949,0.02,0.124973,0,3.64356,0.3483,1.41714,0.1215,1.12603,0.3228,2.0002,1.1327,1.30218,2.087,2.23614,2.6901,1.98379,0.2832,0.447842,0.2186,2.00477,0.092,1.09358,0.0889,0.671308,0.7929,6.32773,10.0525
244,2010-09-02,00:00:00.00,0.0457874,1.51541,0.2291,0.225951,2.36,0.103445,0.162,0.820204,0.033,2.0504,3.18,0.144664,0.428,0.293994,0.107,0.714365,1.03,0.51064,0.107,0.220141,0.519,0.0893506,0.054,1.90117,0.655,0.195337,0.615,0.663196,0.008,0.29204,0.014,0.123397,0,4.75443,0.2917,1.58471,0.128,1.18133,0.2973,1.981,1.0364,1.2845,2.0785,2.24155,2.6618,1.95931,0.2945,0.442605,0.2381,1.98024,0.0711,1.09455,0.0756,0.663072,0.7844,6.18202,9.9392
245,2010-09-03,00:00:00.00,0.235978,1.4968,0.1914,0.298939,2.28,0.272474,0.438,1.77579,0.033,2.76673,4.12,0.166151,0.405,0.362963,0.094,0.728652,0.958,0.624256,0.123,0.429517,0.495,0.0893114,0.055,2.17867,0.647,0.245412,0.599,1.13682,0.006,0.455532,0.012,0.203937,0,9.08656,0.4587,2.98664,0.1393,1.78745,0.303,2.23567,1.4158,1.3718,3.1149,2.77146,3.936,1.97733,0.9033,0.62141,0.3426,1.95599,0.0544,1.07725,0.066,0.654906,0.7221,6.01338,11.525
246,2010-09-04,00:00:00.00,0.437623,2.07283,0.1872,0.90411,2.65,0.747709,1.01,3.95311,0.374,6.4791,6.86,0.674215,0.42,1.69147,0.278,2.15309,1.01,2.51523,0.166,1.44498,1.3,0.146465,0.067,4.0238,0.679,0.503189,0.628,1.73028,0.008,0.67134,0.017,0.310635,0,12.6569,0.3766,3.95188,0.1427,2.47642,0.3625,3.03277,1.5603,2.06944,3.6812,3.58258,5.1537,2.4035,1.2856,0.748649,0.4502,1.95631,0.0442,1.19428,0.062,0.919101,1.0874,6.65007,11.9214
