time,date,hour,precip [mm/day],sub676 [m3/s],sub677 [m3/s],sub684 [m3/s],sub685 [m3/s],sub687 [m3/s],sub687 (observed) [m3/s],sub686 [m3/s],sub686 (observed) [m3/s],sub699 [m3/s],sub699 (observed) [m3/s],sub703 [m3/s],sub703 (observed) [m3/s],sub700 [m3/s],sub700 (observed) [m3/s],sub701 [m3/s],sub702 [m3/s],sub702 (observed) [m3/s],sub697 [m3/s],sub697 (observed) [m3/s],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s],sub682 [m3/s],sub694 [m3/s],sub694 (observed) [m3/s],sub695 [m3/s],sub695 (observed) [m3/s],sub680 [m3/s],sub680 (observed) [m3/s],sub681 [m3/s],sub681 (observed) [m3/s],sub691 [m3/s],sub692 [m3/s],sub692 (observed) [m3/s],sub693 [m3/s],sub689 [m3/s],sub690 [m3/s],sub690 (observed) [m3/s],sub707 [m3/s],sub707 (observed) [m3/s],sub709 [m3/s],sub709 (observed) [m3/s],sub712 [m3/s],sub712 (observed) [m3/s],sub713 [m3/s],sub713 (observed) [m3/s],sub714 [m3/s],sub714 (observed) [m3/s],sub715 [m3/s],sub715 (observed) [m3/s],sub723 [m3/s],sub724 [m3/s],sub716 [m3/s],sub716 (observed) [m3/s],sub717 [m3/s],sub717 (observed) [m3/s],sub718 [m3/s],sub718 (observed) [m3/s],sub719 [m3/s],sub719 (observed) [m3/s],sub720 [m3/s],sub722 [m3/s],sub722 (observed) [m3/s],sub721 [m3/s],sub721 (observed) [m3/s],sub710 [m3/s],sub710 (observed) [m3/s],sub704 [m3/s],sub704 (observed) [m3/s],sub705 [m3/s],sub705 (observed) [m3/s],sub688 [m3/s],sub688 (observed) [m3/s],sub706 [m3/s],sub706 (observed) [m3/s]
180,2010-06-30,00:00:00.00,0.000710478,17.5847,20.5996,10.473,5.81241,42.236,270,1.9997,1.71,2.83684,0.706,3.81915,5.45,5.29474,0.723,4.91202,6.01772,4.76,0.089043,0.128,2.88036,2.1,3.50832,0.512284,1.17365,0.22,0.281124,0.016,4.72412,0.9316,2.25472,2.1946,2.98275,8.57456,6.0598,5.41127,4.76832,7.19757,2.2569,22.4159,18.3493,34.8845,40.2099,0.514534,1.0109,188.972,190.856,14.2401,22.6535,46.4575,103.356,9.42669,8.26413,21.9863,29.1664,12.9557,25.8816,20.1452,20.8129,24.4051,39.3604,3.81331,5.25584,5.182,8.54439,1.985,4.72158,1.2544,15.8799,20.8412,6.77179,,6.86822,1.9737,7.45827,6.1164
181,2010-07-01,00:00:00.00,0,8.04834,17.123,10.8782,5.91143,50.0127,201,1.28392,1.44,0.828047,0.542,2.56687,4.58,0.0935636,0.436,2.34416,4.98955,3.28,0.0573066,0.101,2.77218,2.18,2.63735,0.128751,0.965507,0.197,0.191941,0.014,2.95349,0.875,1.95467,1.396,2.58738,6.99564,4.4741,4,3.81267,5.42761,1.6395,18.1265,14.923,29.8102,31.1485,0.260427,0.8269,184.669,270.426,14.9277,11.4966,43.2191,87.4991,6.30234,6.71007,12.6666,7.0509,8.22528,8.2402,11.0608,12.2046,21.3079,18.7458,1.30626,2.49617,3.0016,8.04736,1.4753,2.85255,0.9571,15.0317,10.0525,3.43941,,3.26445,0.8637,4.58024,2.2087
182,2010-07-02,00:00:00.00,0,0.0453418,14.2697,10.2699,6.00959,60.828,102,0.730876,1.22,0.029186,0.291,1.9844,4.15,0.0918232,0.338,1.46229,3.17267,2.68,0.0364684,0.096,2.79563,2.15,1.81952,0.128655,0.697513,0.158,0.144472,0.013,2.15231,0.6824,1.54432,0.9939,2.13959,5.32383,3.7661,3.12755,3.08694,4.53656,1.4385,14.952,13.9036,25.5357,24.8339,0.165526,0.7108,180.02,197.652,14.3027,4.7855,40.9439,44.7406,3.54931,6.05115,6.17815,3.6529,6.98947,3.9927,6.82611,4.3608,17.8202,15.8291,0.764351,1.26643,2.4154,7.18534,1.3819,2.80582,0.7476,12.2336,7.7022,3.02922,,0.0366718,0.5862,3.34427,1.5518
183,2010-07-03,00:00:00.00,0,0.107146,10.4175,7.65479,6.3262,71.561,56.6,0.489503,1.06,0.0523501,0.259,1.53659,3.94,0.0916845,0.292,0.861412,2.4942,2.39,0.0251243,0.085,2.73197,1.94,1.28074,0.12856,0.526463,0.134,0.117847,0.011,1.50572,0.5663,1.1347,0.7929,1.70514,3.90524,3.398,2.57215,2.49582,3.76404,1.2997,12.3373,13.4788,22.0439,21.3792,0.130805,0.657,176.503,130.541,12.8245,2.9733,38.6321,21.5774,2.28245,5.07256,5.15198,2.506,5.99708,2.659,6.46981,2.2597,17.6871,15.376,0.515999,1.34666,2.1804,6.4141,2.1153,2.59438,0.6116,10.3445,6.7677,2.56695,,0.0825877,0.4701,2.46213,1.3082
184,2010-07-04,00:00:00.00,3.14864e-08,0.138375,7.48081,5.35967,6.83923,77.2129,37.2,0.374896,0.924,0.0475588,0.215,1.20591,3.78,0.09155,0.257,0.575681,2.06971,2.21,0.0189304,0.079,2.53611,1.82,0.979833,0.128469,0.415863,0.121,0.0967681,0.01,1.05358,0.4927,0.797758,0.6994,1.31684,3.15704,3.2848,2.10999,1.9712,3.08045,1.2035,10.3269,11.978,19.4996,17.8679,0.107476,0.6145,174.459,78.7208,11.1364,2.1238,35.1589,13.8753,1.36732,4.23666,3.98544,1.9482,5.02688,2.0218,4.46103,1.4696,16.4215,12.9974,0.409699,0.888831,2.0615,5.65462,1.7075,2.29084,0.5493,8.68457,6.2014,2.12485,,0.100216,0.3964,1.79671,1.1242
185,2010-07-05,00:00:00.00,2.91582e-08,0.154121,5.64358,3.74249,7.395,76.394,31.5,0.288156,0.828,0.0483777,0.174,0.981591,3.66,0.0914196,0.232,0.411124,1.63947,2.13,0.015531,0.079,2.27113,1.73,0.831555,0.128379,0.340048,0.098,0.0800812,0.009,0.799198,0.4417,0.60092,0.6541,1.01068,2.62957,3.1432,1.67209,1.48217,2.47155,1.1468,8.65844,9.3729,17.4469,15.4327,0.0907978,0.5947,171.87,65.4119,9.52434,1.6027,31.3711,10.279,0.775473,3.4846,3.138,1.6112,4.13556,1.6849,3.48769,1.1015,15.0686,12.7709,0.344272,0.872555,1.985,4.96887,1.3564,1.94644,0.5493,7.3174,5.9749,1.70483,,0.106952,0.3228,1.2666,1.0024
186,2010-07-06,00:00:00.00,0.000163115,0.16203,4.34597,2.51073,7.70695,71.4904,28.4,0.222501,0.768,0.0480761,0.143,0.811544,3.55,0.091293,0.218,0.322676,1.25036,2.07,0.0136485,0.079,1.95358,1.63,0.728376,0.128292,0.288411,0.076,0.066867,0.008,0.634786,0.4134,0.484012,0.606,0.821628,2.13227,3.1149,1.32363,1.08069,1.90174,1.0675,7.11434,9.4295,15.5012,13.9036,0.0788675,0.6003,166.918,53.802,7.9696,1.3196,27.6702,8.2685,0.479154,2.77819,2.50867,1.413,3.37866,1.3989,2.64083,0.8269,13.6563,11.44,0.292823,0.697239,1.9057,4.30487,1.2006,1.60705,0.521,6.11667,5.5784,1.3403,,0.109496,0.2973,0.909872,0.9118
187,2010-07-07,00:00:00.00,4.31242e-07,0.165971,3.04837,1.59398,7.6392,64.9416,26.7,0.172798,0.713,0.0480035,0.122,0.666154,3.41,0.0911702,0.233,0.281171,0.986579,1.98,0.0125904,0.08,1.62458,1.57,0.64328,0.128207,0.253478,0.083,0.0563993,0.007,0.516818,0.3823,0.397867,0.555,0.705588,1.78698,3.1149,1.11582,0.839749,1.39098,1.0562,5.84275,9.203,13.6465,12.7992,0.07033,0.5578,159.379,43.6079,6.72055,1.076,24.3511,6.9376,0.349222,2.13678,1.9878,1.2658,2.76357,1.1327,2.06477,0.6003,12.2427,11.4117,0.252465,0.631913,1.8972,3.72846,1.076,1.31632,0.487,4.86818,5.4652,1.07707,,0.110426,0.235,0.703944,0.8297
188,2010-07-08,00:00:00.00,0.00237741,0.224314,1.99304,1.00343,7.28171,58.508,24.8,0.135165,0.684,0.0478892,0.111,0.54855,3.22,0.091051,0.246,0.25165,0.812244,1.92,0.0119806,0.077,1.34728,1.52,0.578334,0.128124,0.232903,0.092,0.0481037,0.006,0.432187,0.3313,0.456241,0.5097,0.621123,1.61291,3.8228,0.989283,0.700613,1.05937,1.0562,4.8586,8.0703,12.1331,11.8648,0.064216,0.5125,150.103,33.4139,5.77683,0.9231,21.5772,6.0881,0.277451,1.58208,1.52116,1.1044,2.25321,0.9599,1.61062,0.5295,10.5797,11.5533,0.22084,0.548524,1.8066,3.28643,1.0137,1.09014,0.4332,3.57855,5.182,0.900247,,0.110736,0.2325,0.564771,0.7476
189,2010-07-09,00:00:00.00,0.803974,0.917598,1.41655,0.857352,6.77802,52.365,23.7,0.106664,0.644,0.0477873,0.121,0.459209,3.06,0.0909354,0.253,0.227762,0.670949,1.84,0.0165451,0.077,1.68246,1.47,2.38623,2.3963,0.647341,0.09,0.138078,0.006,2.36141,0.3171,1.16481,0.5069,1.1559,3.77049,9.7127,2.74684,0.729478,1.50765,1.8208,4.97062,7.5323,11.8881,10.9303,0.546907,1.1213,141.286,35.3961,5.9407,0.7957,19.8555,5.4935,0.621025,3.96036,1.94459,1.0817,2.03377,0.8807,1.34993,0.5154,8.26492,11.7515,0.196043,0.497345,1.7302,2.91479,0.892,0.931068,0.4049,2.64235,4.8422,0.769945,,0.110951,0.1991,0.462958,0.6966
190,2010-07-10,00:00:00.00,2.28407,7.93754,7.81344,2.51682,6.75744,48.2821,27.2,2.29295,1.83,2.49661,0.653,1.78555,3.56,6.26406,0.599,5.01565,2.24536,2.4,0.184365,0.168,3.15744,1.49,7.29326,4.45909,1.92554,0.144,0.525201,0.008,3.36451,0.3455,1.72574,0.5069,2.19182,7.71169,7.2491,5.19526,1.39554,2.27251,1.6254,4.94739,8.8915,13.0087,10.3073,1.2374,8.6083,134.61,41.6258,7.61333,0.9769,24.0843,5.0687,3.6105,10.8418,10.9764,1.9652,5.83792,1.2856,3.68946,0.9571,7.28983,20.2182,0.65799,1.31112,1.7443,4.14944,0.8637,4.90217,0.9854,5.93915,6.4279,4.70869,,4.26733,0.7221,4.31052,1.5206
191,2010-07-11,00:00:00.00,0.0175696,13.0956,11.4279,4.24792,6.6598,46.123,44.8,3.69841,1.49,3.71537,0.464,2.47611,4.23,6.26395,0.609,6.95003,4.36654,3.15,0.31446,0.188,4.11598,1.52,9.61662,2.19075,2.84197,0.163,0.675224,0.01,2.05247,0.337,1.53601,0.5267,2.76855,8.21444,4.4457,5.24404,2.02147,2.29184,1.3196,4.28526,9.2879,13.571,10.8454,1.15692,5.6351,130.117,39.0772,7.52243,7.1925,29.2906,14.385,5.77133,12.3791,17.5489,1.4357,6.46216,1.1157,5.51135,0.7957,7.16905,16.622,0.901269,1.87006,2.3899,6.70928,1.5659,5.88004,1.3082,11.0152,23.5879,5.95369,,7.91944,1.3819,6.75023,3.5679
192,2010-07-12,00:00:00.00,0.107931,5.93752,8.96075,5.14142,5.92163,43.8208,47.3,2.29655,0.777,1.24269,0.361,1.71211,3.51,0.0906083,0.34,3.32871,4.27932,2.55,0.219603,0.098,3.90748,1.63,6.88365,1.05695,2.80492,0.185,0.461572,0.054,1.91243,0.3851,1.53857,0.521,3.38483,7.9441,4.7855,5.12935,2.33526,2.42888,1.1751,4.26461,8.3818,12.7107,12.9691,0.661661,2.2257,126.481,47.006,6.2318,11.9214,28.2497,27.9204,4.22048,9.48129,9.802,1.3026,3.12056,0.926,3.03668,0.64,5.57296,13.1673,0.567458,1.02006,2.0247,7.5696,1.447,2.9616,1.3366,12.0008,13.139,3.15956,,3.7094,0.5437,4.596,1.4527
193,2010-07-13,00:00:00.00,0.632383,3.86525,9.19407,6.88997,5.49766,42.5868,39.4,1.66431,0.699,0.97444,1.3,1.62585,3.57,1.69862,0.487,3.46087,3.73309,2.41,0.17261,0.178,5.20341,1.92,7.6777,7.05296,4.50464,0.665,1.40116,0.131,6.90346,0.9458,4.57136,0.7419,5.20287,14.4522,24.8905,8.79062,3.64132,4.00861,3.0299,5.31362,5.7766,11.479,11.9214,0.4259,4.3042,121.92,42.7584,6.16298,5.0404,27.9385,16.4521,2.54366,8.57769,3.83734,1.1015,2.90169,0.6739,1.73506,0.5324,4.55945,13.7903,0.437167,1.22927,2.019,8.05532,1.1497,3.12293,0.9231,10.9345,7.9854,2.94638,,0.0363903,0.3398,3.37185,0.9458
194,2010-07-14,00:00:00.00,0.231162,8.01145,7.75378,7.21036,5.30757,42.4725,30.5,1.29299,0.768,1.4168,0.873,1.54641,3.78,1.69888,0.54,3.2241,3.73235,2.4,0.160169,0.14,7.20498,2.65,10.9637,6.66571,6.10266,5.46,1.94479,0.201,8.28419,0.6315,6.04856,1.0109,6.5915,21.9523,9.656,11.6368,4.91369,6.12112,4.2475,6.9695,6.3996,11.0267,10.364,0.477156,2.8317,116.243,44.7406,6.07413,2.7184,29.5614,11.525,1.69016,7.13516,3.33363,1.0137,2.59645,0.521,2.27643,1.0534,7.41123,40.4931,1.91804,7.39735,10.6188,10.0864,5.2953,3.06845,0.6881,9.76965,6.4279,2.56762,,0.0965613,0.2801,2.48145,0.807
195,2010-07-15,00:00:00.00,0.0221244,4.15087,5.96206,6.46524,5.05507,42.1623,28.1,0.753796,0.676,0.442467,0.515,1.38102,3.55,0.0906758,0.396,1.67982,3.48374,2.25,0.105694,0.098,7.27182,2.93,8.39335,0.669556,5.50373,5.13,1.16405,1.27,4.34999,0.5663,4.06815,0.9599,6.30875,19.5451,5.4652,9.27052,4.96192,6.47695,3.8228,7.18948,7.5889,11.3433,17.245,0.619188,7.2491,110.533,28.8832,5.74764,1.8236,29.3438,8.4667,1.16495,5.7406,2.53981,0.9373,2.1877,0.4332,2.08077,0.623,9.99905,14.8947,1.90517,9.53612,4.0493,11.3972,5.097,2.8423,0.5692,8.64439,5.9749,2.15858,,0.134294,0.241,1.81189,0.7362
196,2010-07-16,00:00:00.00,0.157462,0.180131,4.75039,5.93756,4.96202,41.4685,25.9,0.496071,0.618,0.0283483,0.699,1.21665,3.42,0.0902147,0.318,1.01425,3.00301,2.31,0.0730616,0.091,7.24529,2.66,4.77084,1.17291,4.82768,3.74,0.842482,1.02,4.39123,0.5805,3.59232,0.8438,5.76539,14.0727,8.0137,7.22945,4.97593,5.57096,2.8883,7.20694,11.2135,11.4372,16.4521,0.562795,5.72,105.68,28.2036,5.30516,1.3451,27.5187,7.2774,0.727458,4.64236,1.94577,0.8495,1.86647,0.3653,1.56671,0.5607,7.50056,11.7515,0.353163,3.1415,2.54,10.5809,6.6545,2.51218,0.589,7.57328,5.5501,1.74852,,0.134187,0.2234,1.27822,0.6853
197,2010-07-17,00:00:00.00,0.934889,5.94243,5.58498,6.21363,5.40744,41.6504,31.3,0.97167,0.746,3.99961,3,1.85326,4.15,8.84524,2.55,4.50843,4.08558,4.1,1.02619,0.605,9.7551,2.94,9.74449,8.77593,6.05975,5.51,1.69829,0.638,8.0226,0.8863,5.79281,1.2459,8.27289,20.645,44.1743,12.8352,8.22125,10.2992,15.4044,8.89097,9.8543,10.8348,13.4505,0.339968,2.3503,101.606,25.2586,4.81294,1.0052,25.5588,5.6351,0.492923,3.89941,1.47744,0.7815,1.55069,0.3171,1.37486,0.4899,5.38114,12.3745,0.297202,1.02175,2.1323,9.49162,4.1626,2.15007,0.7108,6.5598,5.3802,1.58829,,0.391251,0.1875,1.04929,0.6371
198,2010-07-18,00:00:00.00,0.0608202,11.0844,5.33947,6.41525,5.985,42.4938,36.9,1.4209,3.64,5.83955,1.84,2.18226,3.76,8.8493,1.3,5.72887,5.68038,3.63,1.86314,0.315,12.7861,3.22,19.0311,11.2012,8.36879,4.78,2.27837,1.85,8.31922,1.2771,7.01903,1.9624,11.4814,31.9519,13.0824,19.032,10.7292,15.826,3.8511,9.5409,8.9198,9.67075,10.2507,0.197939,1.2743,97.8657,25.5984,4.16527,0.7929,23.4137,5.6351,0.391406,3.31309,1.16794,0.7051,1.36543,0.2628,1.65157,0.3993,5.10032,13.0257,0.255049,1.35276,1.985,8.96568,2.8062,1.78755,0.5012,5.53014,5.2953,1.3721,,0.691873,0.1642,0.909198,0.5833
199,2010-07-19,00:00:00.00,0.182897,5.32208,3.39797,6.15579,6.14207,42.81,32.5,0.976367,9.46,1.86829,0.978,1.66144,3.43,0.0940934,0.609,2.6134,5.05358,2.66,1.25225,1.42,12.9956,5.05,16.8202,3.6131,9.00274,4,1.66485,1.24,4.9483,0.9005,5.18771,1.3026,10.8656,28.2238,9.4295,15.668,9.50623,12.4277,1.8916,9.37486,7.2208,8.42084,8.7782,0.17007,0.875,94.3767,22.342,3.64296,0.7051,21.7222,5.5501,0.33156,3.93139,1.2414,0.7277,1.17546,0.2163,1.79182,0.4163,4.5674,13.762,0.221676,0.845255,1.9595,7.89692,1.8406,1.45853,0.4049,4.3379,5.0687,1.0251,,0.449496,0.1433,0.686568,0.5862
200,2010-07-20,00:00:00.00,0.466405,1.34785,3.7371,6.55365,6.37854,43.3034,31.6,0.856067,2.91,1.68975,0.654,2.08182,3.79,3.76034,1.48,3.79522,4.60205,3.22,0.769421,1.05,14.0724,6.59,9.95878,1.53609,8.00786,3.13,1.5077,1.64,3.86468,0.5918,3.75851,0.9854,8.46745,18.9148,8.1836,11.555,8.78618,9.20981,1.4753,10.2466,4.4174,7.39621,8.042,0.159905,0.7532,90.9054,17.4715,3.14106,0.6994,20.8902,5.0404,1.10499,3.94837,1.79166,0.6881,1.46261,0.3625,1.96854,0.5012,4.28349,12.063,0.231678,1.10724,1.9793,7.08248,1.5008,2.26046,0.4304,3.29148,5.3236,1.02061,,0.279895,0.1674,0.705839,0.5833
201,2010-07-21,00:00:00.00,0.366381,2.83909,3.62904,5.97451,6.60075,43.7924,30.6,0.849215,1.48,2.54538,0.51,2.23969,3.6,3.92401,0.723,4.06474,5.087,2.97,0.60549,0.52,14.8416,4.41,8.54476,1.52095,6.09095,4.72,1.34566,2.07,2.95567,0.4559,2.90715,0.8099,7.12747,16.9045,13.8753,11.605,9.69192,13.6798,4.8422,18.3737,17.3299,8.37263,7.7022,0.132172,0.6258,87.0849,14.6398,2.52244,0.5975,19.4713,4.4174,1.74533,2.95302,2.1871,0.7674,1.60609,0.2758,2.11554,0.4757,4.12775,13.7337,0.299025,1.59374,2.0331,7.34092,1.6395,2.63566,0.3879,2.6433,5.4935,0.959195,,0.405628,0.1489,0.710194,0.8297
202,2010-07-22,00:00:00.00,0.0729157,2.11317,2.66563,4.82536,6.59277,43.3238,28.4,0.538546,1.04,0.855738,0.347,1.68655,3.45,0.253711,0.481,2.06719,4.56464,2.72,0.347369,0.205,12.2671,2.53,6.48689,0.127151,4.39502,4.02,0.761481,0.755,2.17618,0.4106,2.23363,0.7108,6.49437,16.2528,10.6188,11.1586,9.72507,16.4416,2.8883,21.7316,15.999,10.0511,7.4473,0.118027,0.5522,83.1333,22.6535,2.16539,0.5324,17.6476,4.6156,1.28033,2.71292,1.94039,0.7674,1.75237,0.2707,3.95456,0.4616,4.07685,12.0347,0.268707,1.49263,2.019,7.05899,2.036,2.10135,0.3596,2.20481,4.9271,1.09361,,0.782034,1.2431,0.760609,0.7759
203,2010-07-23,00:00:00.00,0.0769613,1.12718,2.21554,4.00934,6.55784,42.125,26.1,0.411509,0.86,0.0292202,0.301,1.38748,3.32,0.0898811,0.383,1.229,3.61123,2.43,0.208045,0.135,10.4247,1.47,4.28895,0.127093,3.30172,2.32,0.415063,0.238,1.53347,0.3653,1.68197,0.6513,5.38912,13.5929,8.0986,8.84523,8.09922,11.7851,1.5829,18.4057,12.4594,10.0273,7.7305,1.30004,1.379,80.0886,22.9933,4.00793,0.6031,16.5979,5.805,0.772025,2.39059,1.79562,0.7617,1.96517,0.4701,5.9274,1.3479,3.70084,13.0257,0.185506,0.752194,1.801,5.85244,1.3026,2.1088,0.5918,1.90884,4.5873,1.09634,,1.09934,0.8722,0.762166,0.5692
204,2010-07-24,00:00:00.00,1.82271,8.659,7.80415,4.86979,6.92245,41.6605,53.1,1.16397,1.89,2.41998,2.17,2.16393,4,5.16513,1.16,3.15586,3.71914,2.9,0.351587,1.05,9.61488,1.16,4.63017,2.3677,3.08869,1.11,0.507633,0.123,1.97683,0.3426,1.73974,0.5975,5.21799,13.1904,16.3388,9.61964,8.89213,14.1666,6.258,25.7581,15.6875,12.1511,7.8154,2.44773,2.5004,77.0122,24.9755,4.67882,3.483,15.7244,5.9749,0.503527,1.97601,3.30442,1.1553,4.15686,4.3325,8.40423,6.2297,4.89871,21.804,0.704057,1.83053,2.0388,6.77799,1.4696,3.72788,0.79,6.97854,5.8616,6.78912,,6.40359,6.2863,6.68381,2.7552
205,2010-07-25,00:00:00.00,1.97638,17.6331,15.2975,7.16072,7.99657,43.2825,105,2.78225,2.13,4.34275,1.77,2.8507,4.18,6.44937,1.36,5.16631,4.65147,3.07,0.988042,11.9,9.06894,1.77,6.5648,2.88446,3.15688,0.688,0.621439,0.069,2.29277,0.3426,1.83525,0.606,5.5618,17.2902,24.2675,12.5484,10.0025,19.7127,12.4028,31.4961,24.0976,17.6232,10.3073,3.25415,4.5873,76.5,36.5287,5.01945,2.7524,15.3901,5.6067,0.657691,3.08867,5.46853,2.271,5.62154,2.5259,18.8739,11.2135,12.5193,76.7387,2.99249,6.84712,5.5784,10.314,5.805,6.95428,1.716,17.1493,10.5056,8.01859,,10.6253,5.8333,9.61348,2.3135
206,2010-07-26,00:00:00.00,2.04831,9.48613,15.6231,8.92559,8.63674,46.495,137,2.91779,1.48,1.95198,0.805,2.33453,4.28,1.37371,0.791,3.75687,4.79885,3.38,1.79836,3.31,8.69054,1.3,7.20474,1.2083,2.95523,0.491,0.570631,0.037,1.50077,0.3256,1.38555,0.7136,5.44037,18.3399,18.6891,12.4627,9.06616,16.4501,7.6172,36.8966,23.0216,26.6585,21.181,3.90394,5.9749,77.8564,28.3168,7.004,2.8883,16.5491,5.9465,1.64769,5.90773,8.00578,1.9369,5.3171,1.4725,23.3444,12.9974,19.5094,72.7743,4.76883,9.32559,5.7483,13.0628,5.097,8.84111,4.2192,27.8517,58.0495,5.95669,,6.57612,6.8527,8.65126,5.72
207,2010-07-27,00:00:00.00,0.00395371,0.0516599,13.0227,9.04774,8.25603,50.6918,103,1.70142,1.48,0.0312169,0.508,1.90897,3.81,0.0893364,0.506,2.12616,4.09773,2.86,1.49498,2.1,7.94932,1.03,6.2174,0.691429,2.66281,0.381,0.457986,0.023,0.997098,0.3002,0.980248,0.5975,4.65461,15.9035,10.364,10.9354,7.62553,12.4428,4.1343,39.6942,21.181,36.5863,32.2812,3.10147,5.1253,78.2387,24.5224,6.53753,3.3414,16.3794,41.6258,2.22354,6.81835,8.37612,1.985,5.17801,1.3111,15.3136,8.3252,17.5899,37.3782,3.53919,5.34283,3.9077,13.0905,6.7394,7.23078,9.5145,31.2801,30.8654,6.3231,,3.88263,1.6452,8.68352,4.1059
208,2010-07-28,00:00:00.00,0,0.112214,10.1408,7.27736,7.7386,55.5914,90.6,0.897904,1.47,0.0527143,0.405,1.62605,3.53,0.0892689,0.387,1.27271,3.38329,2.55,0.56104,0.589,7.10118,0.937,4.60644,0.126818,2.05383,0.29,0.259588,0.017,0.766667,0.286,0.718059,0.521,3.49963,12.4401,7.3057,8.11469,6.05281,8.99211,2.0388,33.44,17.8962,39.0941,31.4317,1.89873,2.4494,79.8085,33.9802,5.73369,2.1577,14.5292,29.1664,1.688,6.52191,5.17173,1.1865,4.18894,1.0279,10.0662,3.1998,15.884,23.0499,1.7247,2.55591,2.5259,11.8595,6.258,5.42088,3.3697,24.6701,14.7531,3.80926,,2.06005,0.8099,5.64861,1.5801
209,2010-07-29,00:00:00.00,0.454416,0.624376,7.88788,5.88714,8.76962,63.7907,83.5,3.333,2.05,0.382603,0.267,1.54895,3.34,0.762952,0.326,2.10492,2.94385,2.36,0.476615,0.312,6.74787,0.886,3.27882,0.324301,1.4915,0.252,0.202572,0.013,0.99624,0.303,0.934739,0.4729,3.64689,11.6568,11.0719,8.02145,5.96251,7.85873,3.9077,29.8626,17.3582,37.2465,32.5644,1.48339,2.1747,81.3428,48.9881,5.8753,1.6707,13.3973,14.9513,1.02792,6.3571,2.88839,0.9458,3.77288,0.7136,8.30838,2.0954,17.1673,20.3881,0.934738,2.13869,2.322,11.2666,3.483,5.51398,1.7075,18.4388,9.741,3.41383,,0.0998906,0.5493,4.14196,1.0675
210,2010-07-30,00:00:00.00,0.69147,1.15832,6.16838,4.58569,9.86071,70.993,64.3,4.33934,8.01,0.572501,0.253,1.83948,3.31,0.768999,0.303,2.65629,2.7734,2.35,0.491888,0.359,6.45741,0.831,2.55294,0.32425,1.05408,0.229,0.166661,0.012,1.15261,0.2557,1.29152,0.4389,4.04755,14.2054,14.4699,9.44087,6.00749,9.45883,8.4384,25.6199,15.9141,36.6474,28.0903,1.59859,1.9142,80.8597,41.9089,6.3798,1.2828,13.4287,8.8915,0.716687,6.24026,2.96709,0.8438,4.35921,0.5918,8.82002,1.413,19.8881,33.4139,2.78834,6.10379,3.9077,13.1699,6.3996,7.1729,1.9482,16.1245,22.6252,3.69706,,0.923063,0.7334,3.92475,1.1412
211,2010-07-31,00:00:00.00,0,0.746758,4.52518,3.0267,9.28733,70.3036,45.3,1.96841,4.03,0.211497,0.214,2.03324,3.61,0.0951883,0.262,1.75296,2.61491,2.34,0.258214,0.246,5.70893,0.701,1.92646,0.126666,0.757679,0.21,0.11611,0.011,0.879105,0.2217,1.14941,0.4276,3.61717,12.0807,6.7111,7.09714,5.0523,8.15494,2.3673,20.1557,14.4982,34.9146,24.041,1.17004,1.0279,78.9152,38.5109,6.08104,1.1978,13.8103,6.5695,0.590838,5.44781,3.09691,0.7532,4.14154,0.4474,8.7949,0.9316,22.5794,23.0216,3.551,8.65643,3.0299,15.6682,9.0048,7.33594,6.5129,14.6527,11.7232,3.37011,,1.50153,0.8155,3.56894,0.9543
212,2010-08-01,00:00:00.00,0.174743,0.341531,3.23976,2.18085,8.52281,65.4067,36.7,0.996718,2.17,0.0406341,0.184,1.98388,4.76,0.0890896,0.245,1.19617,2.3677,2.93,0.146104,0.164,5.021,0.643,1.6665,1.08059,0.707276,0.172,0.0999254,0.01,0.695068,0.2254,0.836203,0.4106,3.02776,8.00549,5.9465,4.73143,4.49981,5.90672,1.6424,17.1648,13.6204,31.5601,20.6147,0.588663,0.8353,77.5009,42.4753,5.13089,1.0506,13.9054,5.5784,0.410532,3.93332,2.03799,0.6938,2.87418,0.3313,5.50838,0.7504,20.7374,17.2733,1.6886,4.156,2.1323,14.8703,8.3252,5.76592,2.7552,12.1994,8.2119,2.38838,,0.678357,0.6683,2.4541,0.7306
213,2010-08-02,00:00:00.00,0.00661191,0.405288,2.13859,1.5277,7.88123,60.3514,35.2,0.60001,1.54,0.0730904,0.155,1.87681,6.42,0.0890304,0.236,0.758395,2.06635,2.69,0.0837816,0.133,4.45222,0.618,1.72838,1.27876,0.90547,0.149,0.0868016,0.008,0.582963,0.2059,0.634142,0.4361,2.39934,6.24618,7.1075,3.83185,4.19607,5.09335,1.4696,14.9225,12.063,27.9381,17.4149,0.283857,0.7532,77.0489,37.0951,4.50971,0.8212,13.8531,4.1626,0.315216,3.19584,1.20383,0.6286,2.39687,0.2659,3.55352,0.657,18.3631,13.9602,0.923339,2.45655,1.9312,13.4144,4.8422,5.59397,1.5688,9.7717,6.9943,2.00107,,0.0360418,0.4842,1.78946,0.6343
