time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
372,2011-01-08,00:00:00.00,1.05315,1.85911,1.62822
373,2011-01-09,00:00:00.00,0.692125,1.80208,1.52061
374,2011-01-10,00:00:00.00,0.0651974,1.77616,1.45265
375,2011-01-11,00:00:00.00,0.00124843,1.76094,1.34788
376,2011-01-12,00:00:00.00,8.49867,1.74889,1.28842
377,2011-01-13,00:00:00.00,1.67779,1.73762,1.29691
378,2011-01-14,00:00:00.00,0.307856,1.72678,1.24877
379,2011-01-15,00:00:00.00,0.734838,1.71666,1.27709
380,2011-01-16,00:00:00.00,2.69906,1.70704,1.30824
381,2011-01-17,00:00:00.00,0.079996,1.69667,1.2601
382,2011-01-18,00:00:00.00,0.282332,1.68696,1.27709
383,2011-01-19,00:00:00.00,5.62153,1.67823,1.90572
384,2011-01-20,00:00:00.00,0.467492,2.46066,3.11485
385,2011-01-21,00:00:00.00,1.7795,2.73697,1.75564
386,2011-01-22,00:00:00.00,0.361054,2.04411,1.37903
387,2011-01-23,00:00:00.00,0.800719,1.79569,1.2601
388,2011-01-24,00:00:00.00,0.0963372,1.70426,1.18648
389,2011-01-25,00:00:00.00,1.97082,1.66782,1.14966
390,2011-01-26,00:00:00.00,0.143638,1.64991,1.21196
391,2011-01-27,00:00:00.00,0.15661,1.6361,1.24877
392,2011-01-28,00:00:00.00,2.53631,1.62263,1.20347
393,2011-01-29,00:00:00.00,0.662854,1.61047,1.21196
394,2011-01-30,00:00:00.00,4.4394,1.59889,1.20063
395,2011-01-31,00:00:00.00,0.183187,1.58739,1.17515
396,2011-02-01,00:00:00.00,0.050682,1.57651,1.11002
397,2011-02-02,00:00:00.00,7.82806,1.56717,1.17798
398,2011-02-03,00:00:00.00,9.58389,1.55828,1.28842
399,2011-02-04,00:00:00.00,0.000492292,1.54832,1.23745
400,2011-02-05,00:00:00.00,0.000939947,1.53879,1.19214
401,2011-02-06,00:00:00.00,2.11282,1.53029,1.25444
402,2011-02-07,00:00:00.00,0.811763,1.52117,1.27709
403,2011-02-08,00:00:00.00,0.668547,1.51078,1.26293
404,2011-02-09,00:00:00.00,0.134469,1.49911,1.23745
405,2011-02-10,00:00:00.00,0.144086,1.48868,1.20913
406,2011-02-11,00:00:00.00,0.0277834,1.48025,1.16949
407,2011-02-12,00:00:00.00,0.367174,1.47273,1.19214
408,2011-02-13,00:00:00.00,0.626543,1.46548,1.27992
409,2011-02-14,00:00:00.00,0.781688,1.45526,1.48663
410,2011-02-15,00:00:00.00,0.0734573,2.95401,1.99917
411,2011-02-16,00:00:00.00,5.06953e-308,4.26305,2.3503
412,2011-02-17,00:00:00.00,0.0788235,3.26337,2.27384
413,2011-02-18,00:00:00.00,0.030915,4.04719,5.29525
414,2011-02-19,00:00:00.00,0.0157455,12.4462,19.9634
415,2011-02-20,00:00:00.00,2.51995e-308,13.881,15.7442
416,2011-02-21,00:00:00.00,11.4103,6.73741,5.5501
417,2011-02-22,00:00:00.00,16.9793,4.10565,3.59624
418,2011-02-23,00:00:00.00,0.000205904,2.93197,2.94495
419,2011-02-24,00:00:00.00,0.0188316,2.51088,2.59099
420,2011-02-25,00:00:00.00,3.57263,2.35366,2.67877
421,2011-02-26,00:00:00.00,4.67722,2.2852,2.79204
422,2011-02-27,00:00:00.00,2.33161,2.2475,2.61365
423,2011-02-28,00:00:00.00,1.90614,2.22202,2.75523
424,2011-03-01,00:00:00.00,14.3779,2.19942,13.4788
425,2011-03-02,00:00:00.00,0.00224712,2.17715,13.6487
426,2011-03-03,00:00:00.00,0.0301858,2.1561,7.67387
427,2011-03-04,00:00:00.00,0.00916031,2.1362,5.0404
