 radcl\20100101_met.r
02GE007                               0.     17.      5.      5.      0.      0.
02GG002                               0.     33.     15.     15.      0.      0.
02GG003                               0.     32.     13.     13.      0.      0.
02GG006                               0.     27.      5.      5.      0.      0.
02GG009                               0.     25.      4.      4.      0.      0.
02GG013                               0.     24.      1.      1.      0.      0.
04159492                               0.      9.      6.      6.      0.      0.
04159900                               0.     10.      9.      9.      0.      0.
04160600                               0.     17.     14.     14.      0.      0.
  hour    then pairs of measured and computed flows
      24    0.16    0.15    5.20    1.88   11.00    2.75    1.09    0.23    5.10    0.40    0.95    0.04    2.22    1.35    0.97    0.78    1.19    0.99
      48    0.12    0.15    4.00    1.88    8.30    2.76    0.86    0.23    3.72    0.41    0.70    0.04    2.07    1.36    0.84    0.78    1.13    0.99
      72    0.13    0.14    3.40    1.89    6.50    2.77    0.73    0.24    2.97    0.41    0.50    0.04    1.88    1.37    0.78    0.78    1.09    0.99
      96    0.12    0.14    3.05    1.88    5.20    2.75    0.64    0.23    2.45    0.41    0.38    0.04    1.74    1.36    0.70    0.78    1.06    0.98
     120    0.12    0.14    2.82    1.87    4.60    2.73    0.54    0.23    2.09    0.40    0.30    0.04    1.62    1.35    0.69    0.77    1.05    0.98
     144    0.11    0.14    2.64    1.88    4.15    2.73    0.48    0.23    1.70    0.39    0.24    0.04    1.54    1.33    0.69    0.76    1.04    0.97
     168    0.11    0.14    2.52    1.88    3.82    2.74    0.42    0.23    1.40    0.39    0.19    0.04    1.50    1.33    0.66    0.77    1.03    0.97
     192    0.11    0.14    2.40    1.86    3.60    2.73    0.38    0.23    1.20    0.40    0.15    0.04    1.43    1.33    0.65    0.77    0.98    0.97
     216    0.11    0.15    2.30    1.88    3.40    2.78    0.35    0.24    1.05    0.42    0.13    0.04    1.36    1.38    0.63    0.80    1.03    1.01
     240    0.11    0.22    2.22    2.03    3.20    2.93    0.33    0.28    0.90    0.49    0.11    0.07    1.37    1.47    0.62    0.85    1.04    1.06
     264    0.11    0.22    2.16    2.01    3.03    2.97    0.31    0.27    0.80    0.49    0.09    0.07    1.33    1.48    0.61    0.85    1.04    1.02
     288    0.12    0.20    2.10    1.92    2.97    2.86    0.30    0.24    0.70    0.46    0.08    0.06    1.29    1.48    0.59    0.80    1.05    0.99
     312    0.12    0.18    2.05    1.86    2.80    2.76    0.29    0.23    0.64    0.42    0.07    0.05    1.25    1.39    0.59    0.78    1.05    0.98
