time,date,hour,precip [mm/day],sub696 [m3/s],sub696 (observed) [m3/s],sub698 [m3/s]
342,2010-12-09,00:00:00.00,0.338664,9.09339,4.3,5.52027
343,2010-12-10,00:00:00.00,0.403447,8.19585,3.98,5.00964
344,2010-12-11,00:00:00.00,1.16069,7.50895,3.8,4.56553
345,2010-12-12,00:00:00.00,0.141257,6.92961,3.95,4.22724
346,2010-12-13,00:00:00.00,18.7593,7.75759,3.87,5.09974
347,2010-12-14,00:00:00.00,9.40416,10.5785,4.85,7.33548
348,2010-12-15,00:00:00.00,10.0948,12.1868,5.7,7.94259
349,2010-12-16,00:00:00.00,0.817929,11.1088,5.2,6.60761
350,2010-12-17,00:00:00.00,0.0876729,9.36272,4.8,5.59545
351,2010-12-18,00:00:00.00,0.0406025,8.25701,4.6,5.06576
352,2010-12-19,00:00:00.00,0.0810832,7.60561,4.42,4.63019
353,2010-12-20,00:00:00.00,0.343067,7.02502,4.3,4.28906
354,2010-12-21,00:00:00.00,0.834635,6.53739,4.18,4.01373
355,2010-12-22,00:00:00.00,0.0299913,6.14073,4.04,3.79504
356,2010-12-23,00:00:00.00,0.584191,5.80564,3.95,3.59439
357,2010-12-24,00:00:00.00,0.817704,5.50857,3.85,3.41054
358,2010-12-25,00:00:00.00,0.150462,5.24137,3.78,3.2503
359,2010-12-26,00:00:00.00,0.0148174,5.00663,3.71,3.10793
360,2010-12-27,00:00:00.00,0.0718969,4.798,3.65,2.98234
361,2010-12-28,00:00:00.00,0.0881503,4.61244,3.59,2.86945
362,2010-12-29,00:00:00.00,0.06045,4.44541,3.56,2.76833
363,2010-12-30,00:00:00.00,0.00166448,4.29643,3.53,2.67609
364,2010-12-31,00:00:00.00,0.515843,4.16605,3.5,2.59702
365,2011-01-01,00:00:00.00,3.07125,10.9598,6,8.376
366,2011-01-02,00:00:00.00,14.4692,42.5673,70.3,35.8234
367,2011-01-03,00:00:00.00,0.033005,81.5513,126,62.304
368,2011-01-04,00:00:00.00,0.884398,82.9737,126,49.8515
369,2011-01-05,00:00:00.00,2.43308,55.2961,90.5,25.6175
370,2011-01-06,00:00:00.00,0.196056,32.6545,51.2,15.6819
371,2011-01-07,00:00:00.00,3.88946,22.3085,25,12.2274
372,2011-01-08,00:00:00.00,0.848177,17.5395,17.7,10.2695
373,2011-01-09,00:00:00.00,1.15206,14.633,11.1,8.66987
374,2011-01-10,00:00:00.00,2.93906,12.7523,8.58,7.87804
375,2011-01-11,00:00:00.00,0.464327,11.4925,7.35,6.98472
376,2011-01-12,00:00:00.00,10.5411,10.5016,6.44,6.47403
377,2011-01-13,00:00:00.00,3.07848,9.65768,6.1,5.95088
378,2011-01-14,00:00:00.00,1.11802,9.05395,6,5.59477
379,2011-01-15,00:00:00.00,0.586881,8.48684,5.62,5.26404
380,2011-01-16,00:00:00.00,5.02461,8.10171,5.55,5.00131
