time,date,hour,precip [mm/day],02GG006 [m3/s],02GG006 (observed) [m3/s]
322,2010-11-19,00:00:00.00,0.536075,7.33524,4
323,2010-11-20,00:00:00.00,0.00828935,5.87214,2.25
324,2010-11-21,00:00:00.00,0.00365892,4.81439,1.55
325,2010-11-22,00:00:00.00,0.0462014,4.33978,0.921
326,2010-11-23,00:00:00.00,10.3215,4.83452,0.666
327,2010-11-24,00:00:00.00,4.03712,5.58553,0.731
328,2010-11-25,00:00:00.00,0.0256403,5.31807,1.86
329,2010-11-26,00:00:00.00,4.34373,5.11931,1.75
330,2010-11-27,00:00:00.00,14.3093,5.42332,2.97
331,2010-11-28,00:00:00.00,0.0453591,5.31094,6.56
332,2010-11-29,00:00:00.00,0.000806673,4.75091,3.45
333,2010-11-30,00:00:00.00,0.000953273,4.28689,1.49
334,2010-12-01,00:00:00.00,15.9395,7.28475,1.66
335,2010-12-02,00:00:00.00,7.28967,10.5189,8.78
336,2010-12-03,00:00:00.00,0.287767,9.24356,10.5
337,2010-12-04,00:00:00.00,0.261243,7.39285,4.55
338,2010-12-05,00:00:00.00,2.65066,6.45706,2.19
339,2010-12-06,00:00:00.00,5.43773,5.79501,1.43
340,2010-12-07,00:00:00.00,0.793107,5.2194,1.08
341,2010-12-08,00:00:00.00,0.458381,4.6737,0.82
342,2010-12-09,00:00:00.00,0.0873662,4.22075,0.63
343,2010-12-10,00:00:00.00,0.116488,3.8395,0.52
344,2010-12-11,00:00:00.00,1.34011,3.51471,0.46
345,2010-12-12,00:00:00.00,0.0962012,3.23512,0.45
346,2010-12-13,00:00:00.00,18.5669,3.99668,0.455
347,2010-12-14,00:00:00.00,11.8304,4.55307,0.428
348,2010-12-15,00:00:00.00,15.4385,4.02923,0.43
349,2010-12-16,00:00:00.00,0.103469,3.67903,0.42
350,2010-12-17,00:00:00.00,0.0313665,3.37886,0.418
351,2010-12-18,00:00:00.00,0.025663,3.11907,0.415
352,2010-12-19,00:00:00.00,0.132432,2.89229,0.41
353,2010-12-20,00:00:00.00,0.199633,2.69282,0.405
354,2010-12-21,00:00:00.00,1.13644,2.51618,0.42
355,2010-12-22,00:00:00.00,0.258851,2.3588,0.47
356,2010-12-23,00:00:00.00,0.272389,2.21781,0.5
357,2010-12-24,00:00:00.00,1.08848,2.09086,0.56
358,2010-12-25,00:00:00.00,0.380913,1.97604,0.55
359,2010-12-26,00:00:00.00,0.0521221,1.87175,0.54
360,2010-12-27,00:00:00.00,0.192635,1.77667,0.535
361,2010-12-28,00:00:00.00,0.396686,1.68966,0.53
362,2010-12-29,00:00:00.00,0.0645182,1.60978,0.54
363,2010-12-30,00:00:00.00,0.000893049,1.53623,0.55
364,2010-12-31,00:00:00.00,0.20985,1.46832,0.58
365,2011-01-01,00:00:00.00,2.48747,1.45816,1.45
366,2011-01-02,00:00:00.00,13.0544,13.0053,17.6
367,2011-01-03,00:00:00.00,0.0584853,21.5803,76.2
368,2011-01-04,00:00:00.00,0.112367,14.9536,41
369,2011-01-05,00:00:00.00,3.06677,10.3395,11.5
370,2011-01-06,00:00:00.00,0.168056,8.67319,5.38
371,2011-01-07,00:00:00.00,2.52077,7.39226,3.09
372,2011-01-08,00:00:00.00,2.20826,6.41072,2.02
373,2011-01-09,00:00:00.00,1.78057,5.63733,1.46
374,2011-01-10,00:00:00.00,6.3731,5.01407,1.1
375,2011-01-11,00:00:00.00,0.370807,4.50237,0.877
376,2011-01-12,00:00:00.00,4.52466,4.07565,0.746
377,2011-01-13,00:00:00.00,10.8841,3.71504,0.72
378,2011-01-14,00:00:00.00,2.01844,3.40677,0.685
379,2011-01-15,00:00:00.00,0.323397,3.1406,0.641
380,2011-01-16,00:00:00.00,5.5469,2.90875,0.624
381,2011-01-17,00:00:00.00,0.0605957,2.70521,0.629
382,2011-01-18,00:00:00.00,0.0136187,2.52529,0.607
383,2011-01-19,00:00:00.00,6.07223,2.47918,0.601
384,2011-01-20,00:00:00.00,0.282986,2.4387,0.804
385,2011-01-21,00:00:00.00,0.477294,2.28904,1.25
386,2011-01-22,00:00:00.00,1.07739,2.15468,1.42
387,2011-01-23,00:00:00.00,2.59739,2.03347,1.2
388,2011-01-24,00:00:00.00,4.80706,1.92364,1.15
389,2011-01-25,00:00:00.00,0.748065,1.82373,1.04
390,2011-01-26,00:00:00.00,0.616285,1.73249,0.886
391,2011-01-27,00:00:00.00,0.126083,1.6489,0.748
392,2011-01-28,00:00:00.00,1.72177,1.57206,0.672
393,2011-01-29,00:00:00.00,2.07187,1.50122,0.628
394,2011-01-30,00:00:00.00,7.71571,1.43573,0.603
395,2011-01-31,00:00:00.00,0.573298,1.37503,0.568
396,2011-02-01,00:00:00.00,0.401713,1.31864,0.528
397,2011-02-02,00:00:00.00,0.404294,1.26613,0.511
398,2011-02-03,00:00:00.00,17.7206,1.21714,0.485
399,2011-02-04,00:00:00.00,0.806433,1.17132,0.503
