time,date,hour,precip [mm/day],02GD004 [m3/s],02GD004 (observed) [m3/s]
331,2010-11-28,00:00:00.00,1.60454,5.74493,7.09
332,2010-11-29,00:00:00.00,0.138318,5.27306,4.33
333,2010-11-30,00:00:00.00,0.0671637,4.8827,3.35
334,2010-12-01,00:00:00.00,16.9949,7.70663,8.15
335,2010-12-02,00:00:00.00,8.43604,9.99674,21.8
336,2010-12-03,00:00:00.00,1.23474,8.66817,17.3
337,2010-12-04,00:00:00.00,2.25569,7.5868,8.4
338,2010-12-05,00:00:00.00,1.10605,6.76199,5.93
339,2010-12-06,00:00:00.00,1.09854,6.11393,4.79
340,2010-12-07,00:00:00.00,22.1813,5.59245,4.09
341,2010-12-08,00:00:00.00,7.64842,5.16447,3.55
342,2010-12-09,00:00:00.00,12.9059,4.80736,3.02
343,2010-12-10,00:00:00.00,4.56056,4.50515,2.46
344,2010-12-11,00:00:00.00,2.8008,4.24623,2.29
345,2010-12-12,00:00:00.00,0.767252,4.02202,2.2
346,2010-12-13,00:00:00.00,15.9469,4.6037,2.58
347,2010-12-14,00:00:00.00,3.88645,4.93242,2.95
348,2010-12-15,00:00:00.00,1.13161,4.43921,2.83
349,2010-12-16,00:00:00.00,6.72331,4.18603,2.5
350,2010-12-17,00:00:00.00,2.24822,3.96651,2.3
351,2010-12-18,00:00:00.00,1.27963,3.7744,2.2
352,2010-12-19,00:00:00.00,0.30233,3.60487,2.11
353,2010-12-20,00:00:00.00,0.526436,3.45414,2.02
354,2010-12-21,00:00:00.00,0.899216,3.31923,1.94
355,2010-12-22,00:00:00.00,0.136458,3.19773,1.88
356,2010-12-23,00:00:00.00,0.0713752,3.0877,1.82
357,2010-12-24,00:00:00.00,0.050984,2.98753,1.77
358,2010-12-25,00:00:00.00,0.0565658,2.89591,1.73
359,2010-12-26,00:00:00.00,6.49941e-05,2.81173,1.69
360,2010-12-27,00:00:00.00,0.018261,2.73408,1.65
361,2010-12-28,00:00:00.00,0.00337671,2.66219,1.62
362,2010-12-29,00:00:00.00,0.0865398,2.59537,1.59
363,2010-12-30,00:00:00.00,0.0839058,2.53308,1.57
364,2010-12-31,00:00:00.00,0.367862,2.47483,1.56
365,2011-01-01,00:00:00.00,2.06324,2.47193,2.68
366,2011-01-02,00:00:00.00,12.8243,13.2073,24.7
367,2011-01-03,00:00:00.00,0.632916,18.1982,39.5
368,2011-01-04,00:00:00.00,0.390694,11.3998,16.3
369,2011-01-05,00:00:00.00,5.26597,9.60565,7.73
370,2011-01-06,00:00:00.00,4.97544,8.32811,5.17
371,2011-01-07,00:00:00.00,3.20524,7.33779,3.99
372,2011-01-08,00:00:00.00,2.53632,6.57476,3.41
373,2011-01-09,00:00:00.00,0.663872,5.97038,2.68
374,2011-01-10,00:00:00.00,0.853071,5.48079,2.01
375,2011-01-11,00:00:00.00,1.3807,5.07673,1.97
376,2011-01-12,00:00:00.00,1.39757,4.73796,1.98
377,2011-01-13,00:00:00.00,7.06299,4.45007,1.93
378,2011-01-14,00:00:00.00,0.737211,4.20251,1.89
379,2011-01-15,00:00:00.00,0.688195,3.98744,1.85
380,2011-01-16,00:00:00.00,6.85821,3.79887,1.86
381,2011-01-17,00:00:00.00,1.90576,3.63218,1.81
382,2011-01-18,00:00:00.00,0.0779418,3.48374,1.67
383,2011-01-19,00:00:00.00,1.87856,3.35291,1.9
384,2011-01-20,00:00:00.00,0.694663,3.23491,1.79
385,2011-01-21,00:00:00.00,1.45239,3.12563,1.51
386,2011-01-22,00:00:00.00,5.88626,3.02603,1.51
387,2011-01-23,00:00:00.00,2.71967,2.93482,1.71
388,2011-01-24,00:00:00.00,1.095,2.85093,1.72
389,2011-01-25,00:00:00.00,0.900192,2.77347,1.66
390,2011-01-26,00:00:00.00,1.36006,2.70166,1.89
391,2011-01-27,00:00:00.00,0.243311,2.63486,1.88
392,2011-01-28,00:00:00.00,2.259,2.57251,1.86
393,2011-01-29,00:00:00.00,2.23454,2.51415,1.8
394,2011-01-30,00:00:00.00,4.35342,2.45935,1.71
395,2011-01-31,00:00:00.00,0.863259,2.40777,1.59
396,2011-02-01,00:00:00.00,0.0290567,2.35909,1.28
397,2011-02-02,00:00:00.00,1.03106,2.31303,1.62
398,2011-02-03,00:00:00.00,16.072,2.26936,1.59
399,2011-02-04,00:00:00.00,0.194263,2.22788,1.78
400,2011-02-05,00:00:00.00,0.00578236,2.18838,1.87
401,2011-02-06,00:00:00.00,8.56334,2.1507,2.02
402,2011-02-07,00:00:00.00,6.23052,2.11471,2.39
403,2011-02-08,00:00:00.00,1.59198,2.08026,2.44
404,2011-02-09,00:00:00.00,0.478944,2.04724,2.34
405,2011-02-10,00:00:00.00,0.206157,2.01554,2.16
406,2011-02-11,00:00:00.00,0.121016,1.98507,2.18
407,2011-02-12,00:00:00.00,0.805735,1.95574,2.32
408,2011-02-13,00:00:00.00,6.85691,1.92747,2.48
409,2011-02-14,00:00:00.00,4.58087,1.9002,2.6
410,2011-02-15,00:00:00.00,0.165623,1.87386,2.76
411,2011-02-16,00:00:00.00,0.00121939,1.84838,2.71
412,2011-02-17,00:00:00.00,0.199544,1.82373,2.54
413,2011-02-18,00:00:00.00,0.193106,1.79984,2.25
414,2011-02-19,00:00:00.00,0.0262133,5.81317,9.22
415,2011-02-20,00:00:00.00,0.482154,7.42799,31.5
416,2011-02-21,00:00:00.00,0.0835432,4.82564,20.8
417,2011-02-22,00:00:00.00,12.2064,4.47218,9.82
418,2011-02-23,00:00:00.00,0.0209251,4.17344,6.05
419,2011-02-24,00:00:00.00,0.00934303,3.91789,4.88
420,2011-02-25,00:00:00.00,3.51985,3.69697,3.87
421,2011-02-26,00:00:00.00,1.34235,3.5042,3.27
422,2011-02-27,00:00:00.00,3.17262,3.3346,2.74
423,2011-02-28,00:00:00.00,5.2519,3.19464,2.66
424,2011-03-01,00:00:00.00,20.0988,3.92894,8.48
425,2011-03-02,00:00:00.00,0.00600832,4.28742,11
426,2011-03-03,00:00:00.00,0.187769,3.74529,6.6
427,2011-03-04,00:00:00.00,0.00542109,3.54674,4.44
428,2011-03-05,00:00:00.00,1.63383,3.37237,3.99
429,2011-03-06,00:00:00.00,30.4937,7.15555,24
430,2011-03-07,00:00:00.00,5.60927,8.91029,49.5
431,2011-03-08,00:00:00.00,0,6.44893,25.1
432,2011-03-09,00:00:00.00,3.52213e-06,5.81737,12.6
433,2011-03-10,00:00:00.00,11.6505,5.66904,9.47
434,2011-03-11,00:00:00.00,13.9765,7.06481,35.6
435,2011-03-12,00:00:00.00,21.3453,8.73212,54.5
436,2011-03-13,00:00:00.00,1.70189,8.52354,29.2
437,2011-03-14,00:00:00.00,0.838562,7.45064,16.3
438,2011-03-15,00:00:00.00,0.149972,6.63186,11.4
439,2011-03-16,00:00:00.00,0.299595,5.98834,9.73
440,2011-03-17,00:00:00.00,6.75273,5.86686,19.8
