Year,Month,Median,2.5 Percentile,97.5 Percentile
1977.00,  11.00,  65.83,  43.76,  88.43
1977.00,  12.00, 199.90, 177.41, 226.61
1978.00,   1.00,  55.12,  34.41,  76.65
1978.00,   2.00,  29.97,  14.04,  48.98
1978.00,   3.00, 259.87, 235.21, 283.41
1978.00,   4.00, 178.09, 154.77, 202.02
1978.00,   5.00,  74.29,  51.31,  97.71
1978.00,   6.00,  31.38,  14.85,  50.47
1978.00,   7.00,  20.95,   7.99,  39.43
1978.00,   8.00,  13.19,   5.69,  26.10
1978.00,   9.00,  12.63,   4.80,  26.71
1978.00,  10.00,  28.38,  11.00,  50.93
1978.00,  11.00,  24.56,  10.83,  44.19
1978.00,  12.00,  60.69,  37.43,  83.34
1979.00,   1.00,  73.27,  51.20,  96.35
1979.00,   2.00,  67.65,  46.58,  89.07
1979.00,   3.00, 192.60, 168.27, 217.31
1979.00,   4.00, 185.56, 162.65, 208.96
1979.00,   5.00,  73.52,  50.42,  96.43
1979.00,   6.00,  39.27,  20.56,  61.56
1979.00,   7.00,  33.40,  15.06,  54.88
1979.00,   8.00,  30.23,  13.14,  52.91
1979.00,   9.00,  48.45,  26.19,  69.74
1979.00,  10.00,  35.90,  14.84,  59.15
1979.00,  11.00,  67.70,  45.28,  91.79
1979.00,  12.00, 142.81, 119.75, 165.79
1980.00,   1.00,  55.70,  32.86,  79.26
1980.00,   2.00,  33.56,  16.15,  53.24
1980.00,   3.00, 176.90, 152.30, 200.94
1980.00,   4.00, 138.26, 115.16, 161.66
1980.00,   5.00,  53.58,  33.18,  76.31
1980.00,   6.00,  68.81,  47.27,  92.68
1980.00,   7.00,  44.10,  22.60,  66.45
1980.00,   8.00,  41.71,  21.13,  64.35
1980.00,   9.00,  22.06,   8.75,  42.05
1980.00,  10.00,  24.80,   8.79,  45.83
1980.00,  11.00,  39.12,  19.92,  60.21
1980.00,  12.00,  45.49,  25.33,  66.67
1981.00,   1.00,  21.75,   9.00,  40.17
1981.00,   2.00, 156.80, 134.26, 180.22
1981.00,   3.00,  51.66,  33.54,  73.36
1981.00,   4.00,  95.86,  74.31, 117.01
1981.00,   5.00,  70.66,  47.91,  93.85
1981.00,   6.00, 125.47, 101.81, 149.45
1981.00,   7.00,  26.51,  11.64,  48.82
1981.00,   8.00,  21.09,   8.64,  39.05
1981.00,   9.00,  78.82,  56.99, 100.80
1981.00,  10.00,  86.45,  62.73, 109.08
1981.00,  11.00,  53.76,  32.38,  76.13
1981.00,  12.00,  54.82,  33.16,  77.70
1982.00,   1.00,  84.35,  60.53, 107.26
1982.00,   2.00,  91.94,  69.76, 113.87
1982.00,   3.00, 287.56, 263.92, 311.11
1982.00,   4.00, 137.27, 114.37, 160.17
1982.00,   5.00,  50.72,  30.34,  72.09
1982.00,   6.00,  49.29,  27.85,  71.25
1982.00,   7.00,  25.82,  10.83,  46.15
1982.00,   8.00,  17.76,   7.43,  33.71
1982.00,   9.00,  19.20,   7.33,  38.43
1982.00,  10.00,  17.90,   6.38,  36.40
1982.00,  11.00, 127.83, 105.51, 150.50
1982.00,  12.00, 146.22, 122.59, 170.17
1983.00,   1.00,  64.24,  42.68,  87.14
1983.00,   2.00,  52.45,  30.97,  75.22
1983.00,   3.00,  78.98,  57.26, 101.36
1983.00,   4.00, 144.08, 121.07, 167.09
1983.00,   5.00, 131.12, 108.10, 155.21
1983.00,   6.00,  41.95,  22.30,  62.28
1983.00,   7.00,  45.82,  23.85,  68.78
1983.00,   8.00,  27.75,  11.53,  50.57
1983.00,   9.00,  18.45,   6.58,  36.53
1983.00,  10.00,  38.47,  17.90,  60.51
1983.00,  11.00, 110.44,  85.34, 135.26
1983.00,  12.00, 144.03, 120.90, 169.19
1984.00,   1.00,  47.63,  25.99,  72.15
1984.00,   2.00, 155.45, 131.98, 180.15
1984.00,   3.00, 170.03, 146.60, 193.01
1984.00,   4.00, 140.75, 118.84, 163.86
1984.00,   5.00, 121.70,  98.38, 143.98
1984.00,   6.00,  49.79,  29.44,  71.42
1984.00,   7.00,  25.38,  10.48,  44.78
1984.00,   8.00,  23.75,   9.97,  42.85
1984.00,   9.00,  21.18,   7.46,  40.57
1984.00,  10.00,  16.73,   5.79,  34.47
1984.00,  11.00,  52.41,  30.93,  75.25
1984.00,  12.00,  96.92,  73.63, 121.76
1985.00,   1.00,  65.83,  44.04,  88.73
1985.00,   2.00, 158.22, 135.74, 183.78
1985.00,   3.00, 194.09, 168.90, 218.27
1985.00,   4.00, 126.84, 103.50, 149.58
1985.00,   5.00,  34.27,  17.83,  54.82
1985.00,   6.00,  36.98,  19.16,  58.63
1985.00,   7.00,  20.12,   8.49,  38.29
1985.00,   8.00,  14.89,   6.38,  30.12
1985.00,   9.00,  15.67,   5.63,  31.50
1985.00,  10.00,  30.85,  12.52,  52.65
1985.00,  11.00, 210.28, 188.61, 233.44
1985.00,  12.00,  82.23,  59.27, 106.35
1986.00,   1.00,  91.64,  68.90, 113.32
1986.00,   2.00, 128.94, 106.53, 151.50
1986.00,   3.00, 159.61, 135.44, 183.74
1986.00,   4.00,  86.73,  63.55, 109.98
1986.00,   5.00,  69.73,  48.37,  92.03
1986.00,   6.00,  84.18,  61.20, 106.56
1986.00,   7.00,  55.68,  32.74,  78.78
1986.00,   8.00,  24.58,   9.43,  45.10
1986.00,   9.00,  45.94,  23.28,  68.47
1986.00,  10.00,  93.97,  69.78, 115.88
1986.00,  11.00,  71.51,  47.88,  93.22
1986.00,  12.00, 124.41,  99.97, 147.84
1987.00,   1.00,  45.64,  24.55,  69.06
1987.00,   2.00,  41.17,  22.42,  62.04
1987.00,   3.00,  77.86,  56.70, 101.12
1987.00,   4.00, 111.74,  88.67, 135.49
1987.00,   5.00,  40.11,  22.29,  60.87
1987.00,   6.00,  44.87,  25.72,  65.96
1987.00,   7.00,  42.56,  21.47,  66.10
1987.00,   8.00,  37.65,  18.48,  58.72
1987.00,   9.00,  27.04,  10.85,  47.42
1987.00,  10.00,  31.84,  13.92,  54.05
1987.00,  11.00,  34.09,  16.69,  54.56
1987.00,  12.00, 105.05,  80.57, 129.15
1988.00,   1.00,  56.82,  31.99,  81.26
1988.00,   2.00,  75.62,  52.47,  99.13
1988.00,   3.00,  93.71,  70.83, 115.53
1988.00,   4.00,  70.03,  48.84,  91.36
1988.00,   5.00,  26.84,  13.79,  44.70
1988.00,   6.00,  15.01,   6.91,  28.48
1988.00,   7.00,  15.97,   6.56,  31.43
1988.00,   8.00,  15.35,   6.64,  30.64
1988.00,   9.00,  14.63,   5.24,  30.51
1988.00,  10.00,  50.59,  27.79,  76.28
1988.00,  11.00,  82.78,  60.38, 105.02
1988.00,  12.00,  47.53,  25.56,  70.22
1989.00,   1.00,  85.10,  61.76, 108.49
1989.00,   2.00,  34.34,  17.05,  55.43
1989.00,   3.00,  70.43,  48.65,  94.16
1989.00,   4.00, 105.54,  82.01, 129.95
1989.00,   5.00, 113.45,  89.47, 136.77
1989.00,   6.00, 107.78,  84.29, 132.51
1989.00,   7.00,  34.66,  16.22,  55.39
1989.00,   8.00,  14.80,   6.07,  28.60
1989.00,   9.00,  18.26,   6.42,  36.52
1989.00,  10.00,  22.10,   8.00,  42.00
1989.00,  11.00,  57.33,  36.96,  77.74
1989.00,  12.00,  25.84,  11.50,  46.80
1990.00,   1.00, 120.71,  96.16, 144.26
1990.00,   2.00, 198.96, 174.76, 223.21
1990.00,   3.00,  94.58,  72.68, 117.77
1990.00,   4.00, 103.17,  80.57, 126.39
1990.00,   5.00, 112.54,  91.25, 137.09
1990.00,   6.00,  44.04,  24.81,  65.39
1990.00,   7.00,  51.66,  29.08,  73.47
1990.00,   8.00,  40.57,  20.60,  61.54
1990.00,   9.00,  53.43,  30.22,  76.53
1990.00,  10.00,  77.88,  54.27, 100.71
1990.00,  11.00,  38.86,  19.25,  60.48
1990.00,  12.00, 217.45, 193.97, 240.73
1991.00,   1.00, 125.51, 100.20, 149.43
1991.00,   2.00,  94.57,  73.16, 116.57
1991.00,   3.00, 113.43,  90.04, 136.39
1991.00,   4.00, 122.67,  99.69, 145.55
1991.00,   5.00,  45.03,  26.32,  65.79
1991.00,   6.00,  23.62,  10.68,  41.87
1991.00,   7.00,  18.80,   7.57,  35.51
1991.00,   8.00,  23.16,   9.58,  42.42
1991.00,   9.00,  15.48,   5.54,  32.44
1991.00,  10.00,  31.25,  13.15,  53.81
1991.00,  11.00,  39.80,  19.19,  61.56
1991.00,  12.00,  45.07,  22.45,  67.82
1992.00,   1.00,  55.85,  34.72,  77.59
1992.00,   2.00,  75.36,  52.82,  98.26
1992.00,   3.00, 103.58,  79.94, 127.62
1992.00,   4.00, 128.95, 104.80, 152.26
1992.00,   5.00,  54.01,  32.31,  76.31
1992.00,   6.00,  37.75,  19.97,  58.63
1992.00,   7.00,  97.08,  73.45, 119.22
1992.00,   8.00,  49.51,  28.98,  71.27
1992.00,   9.00,  99.71,  78.06, 121.46
1992.00,  10.00,  62.58,  39.39,  86.40
1992.00,  11.00, 182.14, 160.04, 205.80
1992.00,  12.00,  88.69,  66.74, 111.84
1993.00,   1.00, 224.33, 201.24, 247.84
1993.00,   2.00,  44.46,  24.92,  65.93
1993.00,   3.00, 218.30, 194.75, 242.57
1993.00,   4.00, 140.78, 116.98, 164.29
1993.00,   5.00,  38.01,  20.35,  57.11
1993.00,   6.00,  73.91,  51.02,  95.29
1993.00,   7.00,  21.86,   9.04,  39.68
1993.00,   8.00,  16.67,   7.31,  33.08
1993.00,   9.00,  24.21,   9.13,  44.98
1993.00,  10.00,  24.21,   8.70,  45.04
1993.00,  11.00,  92.23,  68.79, 115.20
1993.00,  12.00,  44.42,  23.31,  67.08
1994.00,   1.00,  47.35,  26.45,  69.70
1994.00,   2.00,  82.48,  59.02, 106.15
1994.00,   3.00, 116.16,  92.55, 140.40
1994.00,   4.00, 155.71, 132.33, 179.11
1994.00,   5.00,  34.47,  18.96,  54.88
1994.00,   6.00,  47.03,  25.57,  68.79
1994.00,   7.00,  29.00,  12.83,  49.07
1994.00,   8.00,  38.28,  19.01,  62.80
1994.00,   9.00,  16.27,   6.08,  34.19
1994.00,  10.00,  16.73,   5.58,  34.94
1994.00,  11.00,  27.98,  12.56,  48.13
1994.00,  12.00,  79.30,  56.33, 102.12
1995.00,   1.00, 117.15,  95.23, 140.43
1995.00,   2.00,  50.87,  28.99,  73.24
1995.00,   3.00,  88.81,  66.91, 111.78
1995.00,   4.00, 123.07,  98.79, 147.72
1995.00,   5.00,  53.71,  34.60,  75.68
1995.00,   6.00,  29.90,  13.91,  48.99
1995.00,   7.00,  26.38,  10.80,  46.17
1995.00,   8.00,  17.83,   7.37,  35.40
1995.00,   9.00,  12.15,   4.52,  25.10
1995.00,  10.00,  59.57,  36.87,  82.52
1995.00,  11.00,  95.37,  71.75, 118.66
1995.00,  12.00,  36.33,  17.46,  58.61
1996.00,   1.00, 118.05,  95.01, 142.53
1996.00,   2.00,  58.45,  36.28,  80.90
1996.00,   3.00, 114.27,  90.68, 140.22
