time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
264,2010-09-22,00:00:00.00,0.0230885,0.0516214,0
265,2010-09-23,00:00:00.00,4.42628,0.0658497,0
266,2010-09-24,00:00:00.00,0.0435969,0.0755634,0
267,2010-09-25,00:00:00.00,0.0325396,0.04575,0
268,2010-09-26,00:00:00.00,0.0163361,0.0259283,0
269,2010-09-27,00:00:00.00,1.12014,0.0212673,0
270,2010-09-28,00:00:00.00,1.18522,0.0259288,0
271,2010-09-29,00:00:00.00,36.6191,0.224834,0
272,2010-09-30,00:00:00.00,0.264906,0.547278,0
273,2010-10-01,00:00:00.00,0.0276221,0.618972,0
274,2010-10-02,00:00:00.00,0.0692534,0.480813,0
275,2010-10-03,00:00:00.00,22.2005,0.883486,0.002
276,2010-10-04,00:00:00.00,0.126483,1.24926,0.008
277,2010-10-05,00:00:00.00,0.312473,0.970399,0.003
278,2010-10-06,00:00:00.00,0.490654,0.690832,0.001
279,2010-10-07,00:00:00.00,0.63334,0.488744,0
280,2010-10-08,00:00:00.00,0.000144348,0.328446,0
281,2010-10-09,00:00:00.00,0,0.197846,0
282,2010-10-10,00:00:00.00,0.0233635,0.118293,0
283,2010-10-11,00:00:00.00,0.000300203,0.0705633,0
284,2010-10-12,00:00:00.00,3.77928,0.192954,0
285,2010-10-13,00:00:00.00,0.000585132,0.26749,0
286,2010-10-14,00:00:00.00,7.27319,0.451065,0
287,2010-10-15,00:00:00.00,23.4406,1.56476,0.02
288,2010-10-16,00:00:00.00,0.518232,2.18699,0.036
289,2010-10-17,00:00:00.00,0.000114555,1.64122,0.034
290,2010-10-18,00:00:00.00,0.00822014,1.09821,0.024
291,2010-10-19,00:00:00.00,0.00149996,0.695168,0.018
292,2010-10-20,00:00:00.00,0.034234,0.428775,0.026
293,2010-10-21,00:00:00.00,3.51186,0.502683,0.022
294,2010-10-22,00:00:00.00,8.48718,1.13915,0.019
295,2010-10-23,00:00:00.00,0.116264,1.32631,0.016
296,2010-10-24,00:00:00.00,1.65246,0.983931,0.015
297,2010-10-25,00:00:00.00,0.795497,0.801458,0.014
298,2010-10-26,00:00:00.00,0.0862653,0.559054,0.014
299,2010-10-27,00:00:00.00,4.16291,0.673162,0.012
300,2010-10-28,00:00:00.00,0.103284,0.747064,0.01
301,2010-10-29,00:00:00.00,0.0305671,0.465551,0.009
302,2010-10-30,00:00:00.00,0.0310764,0.285314,0.001
303,2010-10-31,00:00:00.00,0.00136562,0.173773,0.001
304,2010-11-01,00:00:00.00,0.375927,0.133739,0.004
305,2010-11-02,00:00:00.00,0.0763937,0.114715,0.003
306,2010-11-03,00:00:00.00,7.684e-308,0.074965,0.002
307,2010-11-04,00:00:00.00,0.103126,0.0540939,0.001
308,2010-11-05,00:00:00.00,8.98155,0.707475,0.002
309,2010-11-06,00:00:00.00,9.66711,1.79467,0.354
310,2010-11-07,00:00:00.00,3.21384,2.14453,0.57
311,2010-11-08,00:00:00.00,0.00770182,1.75683,1.03
312,2010-11-09,00:00:00.00,0,1.17938,0.786
313,2010-11-10,00:00:00.00,0,0.732701,0.436
314,2010-11-11,00:00:00.00,0.0157264,0.447759,0.265
315,2010-11-12,00:00:00.00,0.00179409,0.271839,0.18
316,2010-11-13,00:00:00.00,0.0173229,0.16533,0.131
317,2010-11-14,00:00:00.00,0.00769825,0.101905,0.1
