time,date,hour,precip [mm/day],raven-weighted [m3/s],raven-weighted (observed) [m3/s]
430,2011-03-07,00:00:00.00,2.58171,59.2831,67.8
431,2011-03-08,00:00:00.00,0,56.8354,94.3
432,2011-03-09,00:00:00.00,5.36192e-308,40.355,43.5
433,2011-03-10,00:00:00.00,12.9677,34.3661,28.1
434,2011-03-11,00:00:00.00,13.6199,46.3804,40.2
435,2011-03-12,00:00:00.00,14.1175,75.9637,109
436,2011-03-13,00:00:00.00,1.35398,85.082,126
437,2011-03-14,00:00:00.00,0.393951,65.5471,57.1
438,2011-03-15,00:00:00.00,0.00896108,46.82,31.6
439,2011-03-16,00:00:00.00,1.7582,32.8379,23.8
440,2011-03-17,00:00:00.00,4.56797,31.706,26.5
441,2011-03-18,00:00:00.00,0.0139215,46.3802,63.2
442,2011-03-19,00:00:00.00,0.329798,95.716,108
443,2011-03-20,00:00:00.00,0.0222771,110.69,151
444,2011-03-21,00:00:00.00,1.2833,73.0843,77.9
