date,hour,02GA010,02GA018,02GA038,02GA047,02GB007,02GC002,02GC010,02GC018,02GD004,02GE007,02GG002,02GG003,02GG006,02GG009,02GG013,04159492,04159900,04160600,04161820,04164000,04165500,04166100,04177000,04196800,04197100,04207200,04208504,04213000,02GB001,02GB007,02GC002,02GC007,02GC018,02GC026,02GE007,02GG003,02GG009,02GG013,04159900,04160600,04165500,04166500,04174500,04176500,04177000,04193500,04195820,04198000,04199000,04199500,04200500,04208504,04209000,04212100,04213000,04213500,04214500,04215000,04215500
2013-04-29,00:00:00,24.0399875,12.0070750,6.6469958,17.4971875,7.7986917,5.8160250,5.5232292,5.0400708,7.3482792,1.8223667,14.9337917,22.6650500,3.9178917,7.5906000,1.8184875,44.0328292,15.8424625,13.2432500,29.2969708,40.4328042,65.6125333,5.3221500,2.8901750,5.9742333,3.6402583,3.5685125,32.4324333,6.4637875,121.5554042,7.7986917,5.8160250,11.6183000,5.0400708,12.8343458,1.8223667,22.6650500,7.5906000,1.8184875,15.8424625,13.2432500,65.6125333,11.8669208,71.3677083,72.5798083,2.8901750,288.8203750,11.0785625,30.0889750,10.3706833,8.0475875,10.1179958,32.4324333,5.2237750,17.0387708,6.4637875,19.3473958,7.0187875,3.0945208,6.8322833
2013-04-30,00:00:00,21.3691625,10.9489542,6.0837125,14.2191708,6.3070583,5.0419083,5.1049958,4.5953042,6.8552792,1.5414125,13.9628875,21.1560208,3.6518208,6.9810125,1.6806375,39.5487792,14.3791792,12.1535167,25.8851458,32.7822333,53.6114708,4.9184500,2.5558417,5.5714708,3.5148583,2.0953208,21.5103917,6.1578292,104.4316167,6.3070583,5.0419083,10.8126125,4.5953042,11.7350750,1.5414125,21.1560208,6.9810125,1.6806375,14.3791792,12.1535167,53.6114708,9.9231792,63.8915750,66.4453958,2.5558417,271.0606667,8.6892833,28.9156708,9.2333625,7.3619083,9.0222792,21.5103917,4.7405917,17.2482833,6.1578292,18.2492958,6.4434208,2.8151875,6.1752792
2013-05-01,00:00:00,19.8444750,10.2123792,5.6551333,13.2167375,5.9405417,4.8706375,4.8843292,4.4064250,6.5218667,1.4210750,13.2792500,19.9542833,3.4296083,6.5891500,1.6150083,35.8568417,13.2807458,11.2135292,24.7762958,31.5781000,50.8197583,3.9293208,2.4130292,5.3820208,3.5245667,1.8005542,18.5083750,5.7072375,95.7585542,5.9405417,4.8706375,10.2431250,4.4064250,11.1410333,1.4210750,19.9542833,6.5891500,1.6150083,13.2807458,11.2135292,50.8197583,8.3528333,62.9021208,60.9086083,2.4130292,253.9946917,8.3173750,27.6907208,8.9349792,6.8344583,8.4596750,18.5083750,4.3567125,16.1844167,5.7072375,17.0180750,5.9881708,2.6166333,5.7271500
2013-05-02,00:00:00,18.5234292,9.4473792,5.1158083,12.0319083,5.6647167,4.6921500,4.5780833,4.1773292,6.1224042,1.3045042,12.5301833,18.5814583,3.0802333,5.9976417,1.4797583,32.2610958,11.8702708,10.2207375,20.0416333,26.0627167,43.3955958,3.5363000,2.2811167,5.2352333,3.4823167,1.6782042,17.2308500,5.2787250,87.8427000,5.6647167,4.6921500,9.6095167,4.1773292,10.4906583,1.3045042,18.5814583,5.9976417,1.4797583,11.8702708,10.2207375,43.3955958,7.5194750,55.7138250,56.4194792,2.2811167,241.0708417,8.3921292,27.2482417,8.7256208,6.5042250,8.0751167,17.2308500,4.1016667,15.0470792,5.2787250,15.7829833,5.5519208,2.4275167,5.2938750
2013-05-03,00:00:00,17.0383917,8.6058833,4.5085667,10.7380917,5.3730875,4.4424667,4.1622083,3.8763333,5.6983333,1.1832708,11.6373083,16.9094042,2.6572750,5.2018625,1.2446500,28.9190208,10.6535583,9.2873250,18.3628000,23.8504458,39.5762792,3.1696083,2.1341542,4.9644167,3.3463833,1.5740875,16.1824917,4.8702667,79.4984167,5.3730875,4.4424667,8.8567583,3.8763333,9.6942917,1.1832708,16.9094042,5.2018625,1.2446500,10.6535583,9.2873250,39.5762792,6.7555042,51.3165667,51.8594875,2.1341542,223.7564667,8.1965917,26.3917125,8.4999500,6.2123625,7.7069917,16.1824917,3.8911875,14.0208167,4.8702667,14.6171958,5.1469667,2.2499083,4.8897792
2013-05-04,00:00:00,15.5727458,7.7539000,3.8808208,9.4761708,5.0656708,4.1476833,3.6947042,3.5340542,5.2010083,1.0639583,10.6726833,15.1264250,2.2155333,4.3305875,0.9614958,25.7674292,9.4931167,8.3747250,16.8798292,21.8521917,36.0798500,2.7961958,1.9705417,4.5670625,3.1329292,1.4666125,15.1600208,4.4743417,70.9529583,5.0656708,4.1476833,8.0670667,3.5340542,8.8371333,1.0639583,15.1264250,4.3305875,0.9614958,9.4931167,8.3747250,36.0798500,5.9809875,47.3914958,47.2783208,1.9705417,204.5320542,7.7193833,24.9401458,8.1417083,5.9109500,7.2731292,15.1600208,3.6599792,12.8642500,4.4743417,13.5759000,4.7715500,2.0838542,4.5125042
2013-05-05,00:00:00,14.0785292,6.9133583,3.2794250,8.2447958,4.7381958,3.8296167,3.2081292,3.1736458,4.7120542,0.9533125,9.6885292,13.3994500,1.7900875,3.4691375,0.6701333,22.8445542,8.4017958,7.4934667,15.4768250,19.9271500,32.7365750,2.4601750,1.7979167,4.0928833,2.8665250,1.3640042,14.1109000,4.0942958,62.5654958,4.7381958,3.8296167,7.2657833,3.1736458,7.9445208,0.9533125,13.3994500,3.4691375,0.6701333,8.4017958,7.4934667,32.7365750,5.2567000,43.4967875,42.6708417,1.7979167,183.2835292,7.0542125,23.0178625,7.7111792,5.5879292,6.8159708,14.1109000,3.4306458,11.6356000,4.0942958,12.5834792,4.4200583,1.9258125,4.1609750
2013-05-06,00:00:00,12.6723250,6.1358833,2.7399208,7.1132042,4.4132958,3.5122000,2.7492083,2.8226958,4.2422250,0.8547542,8.7465042,11.8348625,1.4136250,2.6867042,0.4065458,20.2520250,7.4257417,6.6968542,14.2542500,18.2171708,29.7005375,2.1541875,1.6311042,3.6158333,2.5773667,1.2548292,13.0939083,3.7011333,54.7799083,4.4132958,3.5122000,6.4991542,2.8226958,7.0884958,0.8547542,11.8348625,2.6867042,0.4065458,7.4257417,6.6968542,29.7005375,4.6010083,40.0049792,38.3521792,1.6311042,162.8794625,6.3105792,20.8826125,7.2269083,5.2490083,6.3289583,13.0939083,3.1955625,10.3558458,3.7011333,11.6450125,4.0873667,1.7759708,3.8295417
2013-05-07,00:00:00,11.3665375,5.4348375,2.2708250,6.0982208,4.1026583,3.2058042,2.3290875,2.4960708,3.7950167,0.7633583,7.8704417,10.4455917,1.0883625,2.0314583,0.2142667,17.9224583,6.5632000,5.9844000,13.1457833,16.6642833,26.9483417,1.8912833,1.4735958,3.1563542,2.2876583,1.1636917,12.0609542,3.3641625,47.5443708,4.1026583,3.2058042,5.7827625,2.4960708,6.2883958,0.7633583,10.4455917,2.0314583,0.2142667,6.5632000,5.9844000,26.9483417,4.0232875,36.8238917,34.4914333,1.4735958,143.3924417,5.5445250,18.7140917,6.7515667,4.9112833,5.8557875,12.0609542,2.9603750,9.1206583,3.3641625,10.7912750,3.7735417,1.6332042,3.5188458
2013-05-08,00:00:00,10.1816958,4.8220083,1.8751708,5.2293208,3.8057042,3.0725708,1.9567875,2.2120125,3.3967708,0.6794750,7.0822917,9.2334208,0.8158542,1.5224792,0.1039667,15.9017792,5.8124667,5.3543833,12.1216417,15.2603500,24.5024750,1.6498500,1.3256458,2.7266042,2.0124500,1.0951000,11.4948542,3.1288167,41.2735208,3.8057042,3.0725708,5.1348667,2.2120125,5.5656833,0.6794750,9.2334208,1.5224792,0.1039667,5.8124667,5.3543833,24.5024750,3.4998333,33.9270125,30.9965583,1.3256458,125.5838500,4.8084292,16.6262125,6.2696917,4.5813458,5.3899542,11.4948542,2.7318292,7.9903250,3.1288167,10.0002125,3.5760625,1.5799917,3.3353375
2013-05-09,00:00:00,9.2140375,4.2936500,1.5469000,4.5586417,3.5792750,2.7493708,1.6475417,1.9606833,3.0386292,0.6456750,6.3940917,8.2716125,0.5936625,1.1347167,0.0508542,14.1597583,5.1563250,4.8003333,11.2006250,14.0253583,22.3644208,1.4483583,1.1878458,2.3439917,1.7556500,1.0460333,10.9661250,2.9692542,36.1708375,3.5792750,2.7493708,4.5925958,1.9606833,4.9639792,0.6456750,8.2716125,1.1347167,0.0508542,5.1563250,4.8003333,22.3644208,3.0665042,31.2689500,27.9538250,1.1878458,110.1184417,4.1112542,14.6570292,5.8006667,4.2652792,4.9421042,10.9661250,2.5134000,7.2080542,2.9692542,10.0644667,4.5185208,1.9705917,4.9096875
2013-05-10,00:00:00,8.5956542,4.1224667,1.3382083,6.8317250,3.9640500,2.7573333,1.4003583,1.7514167,2.8372500,0.5926792,5.8246542,7.3410125,0.4182167,0.8298750,0.0283125,13.2841000,4.7703917,4.6937583,19.3254125,28.6156125,40.4304667,5.3081833,2.0370500,2.1093667,1.5316792,2.4303792,19.7655208,3.6133250,32.6374875,3.9640500,2.7573333,4.1143667,1.7514167,4.4501208,0.5926792,7.3410125,0.8298750,0.0283125,4.7703917,4.6937583,40.4304667,11.1731833,33.8398792,26.3845958,2.0370500,99.1217792,3.6381375,13.1390417,5.7389833,4.2334417,5.8886958,19.7655208,2.8981625,7.8907875,3.6133250,9.9849750,4.1585792,1.7997167,4.4597583
2013-05-11,00:00:00,9.8247917,4.1286917,1.3840042,7.2717250,3.6662167,2.3119792,1.1836417,1.5196042,2.6128750,0.5228292,5.2770958,6.7805125,0.2837667,0.5942500,0.0180792,13.0991792,4.7965750,4.2138375,13.4511250,16.5058083,24.5009500,1.1565333,1.0013375,2.0796833,1.3439875,3.2931500,28.6685958,4.3478542,49.5174500,3.6662167,2.3119792,3.7655208,1.5196042,3.9980208,0.5228292,6.7805125,0.5942500,0.0180792,4.7965750,4.2138375,24.5009500,2.6105875,32.9416208,25.7143667,1.0013375,93.7386583,3.6202083,12.1314417,5.6020625,4.0781208,5.2631708,28.6685958,2.5632375,8.2441458,4.3478542,15.4364542,4.6677667,1.8770958,4.9830500
2013-05-12,00:00:00,7.9262292,3.5152500,1.0720167,4.7216333,2.9968333,2.2952625,1.0218708,1.3814000,2.3405833,0.4242167,4.8358000,6.1178250,0.1873333,0.4132625,0.0125333,11.5424458,4.1197167,3.7711417,8.9707292,11.4263042,18.2359417,0.9120458,0.8316417,1.6088458,1.1572125,1.1281417,13.7102000,3.3599833,34.8119792,2.9968333,2.2952625,3.4457458,1.3814000,3.6434792,0.4242167,6.1178250,0.4132625,0.0125333,4.1197167,3.7711417,18.2359417,2.2347167,23.8229750,20.4864208,0.8316417,81.0370917,2.7405625,10.9093917,4.7249750,3.7359042,3.9709167,13.7102000,2.0601167,8.7628375,3.3599833,12.5297417,3.7688458,1.5074125,3.6015042
